year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 롯데, 24, 0, 0, 7, 1, 4, 0, 0, 51.1, 38, 32, 241, 58, , 4, 36, 0, 4, 35, 1, 3, 5.61, 4.68, 1.83, 72.6
1992, 롯데, 25, 0, 0, 2, 0, 1, 0, 0, 26.0, 20, 17, 121, 37, , 3, 8, 0, 1, 6, 0, 2, 5.88, 4.86, 1.73, 74.8
1993, 롯데, 26, 1, 0, 3, 0, 3, 0, 0, 37.0, 16, 14, 150, 30, , 1, 11, 0, 1, 15, 0, 1, 3.41, 2.98, 1.11, 98.6
1994, 롯데, 27, 0, 0, 8, 5, 6, 2, 0, 87.2, 53, 50, 387, 95, , 6, 32, 4, 9, 30, 2, 1, 5.13, 4.28, 1.45, 75.1
1995, 롯데, 28, 0, 0, 0, 0, 0, 0, 0, 21.2, 17, 17, 94, 29, , 3, 2, 0, 0, 10, 0, 1, 7.06, 3.96, 1.43, 53.7
1996, 롯데, 29, 4, 1, 11, 8, 4, 0, 0, 128.0, 47, 42, 521, 123, , 5, 28, 2, 12, 52, 0, 6, 2.95, 3.37, 1.18, 127.6
1997, 롯데, 30, 1, 0, 13, 5, 10, 1, 0, 109.2, 54, 51, 462, 106, , 14, 43, 4, 6, 51, 0, 2, 4.19, 4.83, 1.36, 97.9
1998, 롯데, 31, 3, 0, 22, 9, 13, 0, 0, 138.0, 82, 71, 597, 149, , 17, 34, 1, 10, 62, 0, 6, 4.63, 4.53, 1.33, 87.4
1999, 롯데, 32, 0, 0, 14, 4, 2, 0, 0, 78.0, 50, 47, 359, 94, , 16, 32, 0, 7, 42, 2, 6, 5.42, 6.36, 1.62, 92.6
2000, SK, 33, 0, 0, 8, 3, 4, 0, 1, 53.2, 41, 35, 251, 76, , 9, 17, 0, 4, 23, 0, 4, 5.87, 5.66, 1.73, 79.1
2002, LG, 35, 0, 0, 0, 0, 0, 0, 0, 4.0, 2, 2, 15, 2, , 2, 0, 0, 1, 2, 0, 0, 4.50, 9.25, 0.50, 91.9
