year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, 두산, 21, 0, 0, 0, 0, 2, 0, 0, 9.2, 4, 4, 38, 5, , 1, 5, 0, 1, 6, 0, 0, 3.72, 5.08, 1.03, 122.8
2003, 두산, 23, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 1, 0, , 0, 1, 0, 0, 0, 0, 1, , , , 
2006, 두산, 26, 0, 0, 0, 0, 1, 0, 2, 15.1, 6, 5, 62, 13, , 1, 6, 0, 0, 11, 0, 1, 2.93, 3.29, 1.24, 121.9
2007, 두산, 27, 0, 0, 9, 4, 9, 0, 2, 72.2, 41, 35, 309, 78, , 7, 19, 1, 1, 52, 0, 2, 4.33, 3.44, 1.34, 89.2
2008, 두산, 28, 0, 0, 4, 6, 2, 0, 0, 86.1, 23, 23, 332, 65, , 5, 11, 0, 4, 82, 0, 2, 2.40, 2.52, 0.88, 170.7
2009, 두산, 29, 1, 0, 14, 7, 6, 0, 3, 108.2, 57, 57, 455, 120, , 9, 32, 2, 5, 81, 1, 7, 4.72, 3.74, 1.40, 100.6
2011, 두산, 31, 0, 0, 6, 3, 2, 1, 1, 63.2, 30, 28, 277, 71, , 5, 20, 2, 3, 41, 0, 3, 3.96, 3.91, 1.43, 103.5
2012, 두산, 32, 0, 0, 1, 0, 0, 0, 0, 17.0, 6, 6, 74, 14, , 1, 8, 0, 0, 15, 0, 2, 3.18, 3.52, 1.29, 120.4
2013, 두산, 33, 0, 0, 7, 4, 4, 0, 3, 67.0, 46, 44, 295, 78, , 5, 23, 0, 5, 36, 0, 1, 5.91, 4.50, 1.51, 72.0
2014, KIA, 34, 0, 0, 0, 5, 4, 1, 11, 50.2, 34, 32, 228, 56, 2, 6, 17, 2, 5, 45, 0, 1, 5.68, 4.80, 1.44, 91.8
2015, KIA, 35, 0, 0, 0, 0, 2, 0, 4, 26.0, 16, 15, 120, 36, 0, 3, 8, 0, 4, 30, 0, 3, 5.19, 4.19, 1.69, 95.0
