year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, 삼성, 23, 0, 0, 1, 0, 0, 0, 0, 11.0, 4, 3, 45, 13, , 1, 4, 0, 0, 5, 0, 0, 2.45, 3.83, 1.55, 135.6
1996, 쌍방울, 26, 0, 0, 1, 4, 1, 3, 0, 99.1, 31, 29, 419, 96, , 1, 33, 8, 10, 74, 0, 2, 2.63, 2.49, 1.30, 140.2
1997, 쌍방울, 27, 0, 0, 0, 20, 2, 6, 0, 157.2, 40, 33, 600, 111, , 5, 29, 0, 11, 135, 0, 0, 1.88, 2.33, 0.89, 213.1
1998, 쌍방울, 28, 0, 0, 0, 13, 7, 4, 0, 129.1, 50, 48, 525, 114, , 13, 34, 3, 11, 93, 0, 0, 3.34, 3.74, 1.14, 118.9
1999, 삼성, 29, 0, 0, 0, 6, 4, 1, 0, 93.0, 47, 41, 403, 95, , 12, 30, 7, 6, 55, 0, 1, 3.97, 4.70, 1.34, 127.8
2000, 삼성, 30, 0, 0, 0, 4, 7, 2, 10, 109.0, 43, 38, 450, 101, , 7, 29, 2, 6, 105, 0, 0, 3.14, 2.98, 1.19, 151.1
2001, 삼성, 31, 0, 0, 0, 6, 6, 4, 14, 95.2, 49, 47, 403, 90, , 9, 32, 1, 4, 97, 0, 1, 4.42, 3.40, 1.28, 108.7
2002, 삼성, 32, 0, 0, 0, 10, 0, 2, 9, 76.2, 20, 18, 301, 62, , 4, 18, 2, 2, 71, 0, 1, 2.11, 2.53, 1.04, 204.1
2003, 삼성, 33, 0, 0, 0, 8, 2, 0, 13, 85.2, 23, 19, 336, 63, , 7, 19, 1, 5, 73, 0, 1, 2.00, 2.92, 0.96, 218.6
2004, 삼성, 34, 0, 0, 0, 0, 2, 0, 8, 26.0, 18, 17, 112, 24, , 3, 6, 1, 4, 28, 0, 0, 5.88, 3.33, 1.15, 73.7
