year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, 태평양, 22, 4, 0, 12, 7, 8, 2, 0, 116.1, 54, 47, 508, 113, , 5, 56, 0, 4, 109, 1, 1, 3.64, 2.70, 1.45, 89.6
1994, 태평양, 23, 5, 0, 17, 12, 3, 0, 0, 126.2, 49, 45, 519, 112, , 8, 40, 1, 4, 89, 1, 3, 3.20, 3.25, 1.20, 120.1
1995, 태평양, 24, 1, 0, 16, 6, 7, 0, 0, 94.0, 40, 38, 396, 80, , 7, 47, 2, 2, 56, 1, 2, 3.64, 4.09, 1.35, 102.0
1996, 현대, 25, 0, 0, 0, 0, 0, 0, 0, 7.0, 4, 4, 32, 6, , 1, 6, 0, 0, 3, 0, 0, 5.14, 6.36, 1.71, 71.4
1997, 현대, 26, 0, 0, 6, 1, 4, 0, 0, 29.1, 24, 20, 143, 32, , 3, 16, 0, 3, 19, 0, 0, 6.14, 4.85, 1.64, 65.0
1998, 현대, 27, 0, 0, 0, 0, 1, 0, 0, 21.1, 14, 13, 89, 19, , 0, 10, 0, 2, 19, 0, 1, 5.48, 2.80, 1.36, 72.5
1999, 현대, 28, 0, 0, 0, 2, 2, 4, 0, 52.0, 31, 29, 223, 51, , 6, 20, 0, 1, 45, 2, 1, 5.02, 4.25, 1.37, 98.3
2000, 현대, 29, 0, 0, 0, 0, 0, 0, 1, 6.0, 9, 6, 38, 12, , 0, 6, 1, 0, 7, 1, 0, 9.00, 3.33, 3.00, 50.2
2001, 현대,한화, 30, 0, 0, 0, 1, 0, 0, 2, 18.1, 5, 5, 82, 20, , 0, 9, 0, 0, 14, 0, 2, 2.45, 3.06, 1.58, 199.0
, 현대, 30, 0, 0, 0, 1, 0, 0, 0, 6.2, 2, 2, 32, 8, , 0, 5, 0, 0, 5, 0, 0, 2.70, 3.86, 1.95, 173.8
, 한화, 30, 0, 0, 0, 0, 0, 0, 0, 11.2, 3, 3, 50, 12, , 0, 4, 0, 0, 9, 0, 2, 2.31, 2.60, 1.37, 211.1
2002, 한화, 31, 0, 0, 0, 0, 0, 1, 4, 26.1, 15, 13, 121, 30, , 4, 9, 0, 6, 17, 0, 0, 4.44, 5.39, 1.48, 97.8
2003, 한화, 32, 0, 0, 0, 0, 0, 0, 4, 7.2, 9, 9, 40, 11, , 3, 5, 0, 1, 5, 0, 1, 10.57, 8.89, 2.09, 41.1
