year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, 태평양, 19, 3, 0, 13, 3, 10, 0, 0, 127.0, 56, 53, 531, 126, , 8, 36, 1, 11, 56, 1, 1, 3.76, 3.49, 1.28, 86.7
1994, 태평양, 20, 0, 0, 2, 0, 1, 0, 0, 50.0, 30, 27, 240, 74, , 3, 11, 2, 8, 29, 1, 0, 4.86, 3.45, 1.70, 79.0
1995, 태평양, 21, 1, 0, 3, 1, 4, 0, 0, 71.2, 34, 27, 313, 76, , 6, 21, 0, 11, 55, 0, 0, 3.39, 3.70, 1.35, 109.5
1998, 현대, 24, 0, 0, 0, 0, 0, 0, 0, 5.0, 6, 5, 25, 9, , 2, 0, 0, 1, 0, 0, 0, 9.00, 8.70, 1.80, 44.2
2001, 현대, 27, 0, 0, 0, 0, 0, 0, 0, 2.0, 2, 2, 11, 5, , 0, 0, 0, 0, 2, 0, 0, 9.00, 1.11, 2.50, 52.1
2002, 롯데, 28, 0, 0, 2, 2, 1, 0, 0, 35.1, 21, 21, 156, 38, , 5, 11, 0, 6, 23, 0, 0, 5.35, 4.98, 1.39, 78.7
2003, 롯데, 29, 0, 0, 1, 2, 2, 1, 13, 94.1, 49, 47, 406, 113, , 13, 17, 2, 11, 45, 0, 0, 4.48, 4.42, 1.38, 94.4
2004, 롯데, 30, 0, 0, 0, 0, 1, 0, 2, 29.1, 20, 19, 129, 34, , 5, 7, 2, 6, 11, 0, 2, 5.83, 5.54, 1.40, 73.3
2005, 롯데, 31, 0, 0, 0, 0, 0, 0, 1, 8.2, 3, 3, 35, 8, , 0, 2, 0, 2, 7, 1, 1, 3.12, 2.79, 1.15, 132.2
2006, 롯데, 32, 0, 0, 0, 2, 0, 0, 1, 17.2, 9, 9, 79, 21, , 2, 4, 1, 1, 10, 0, 0, 4.58, 3.72, 1.42, 76.4
