year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, 빙그레, 19, 1, 0, 14, 3, 10, 3, 0, 100.0, 57, 49, 440, 88, , 4, 59, 3, 3, 93, 1, 6, 4.41, 2.90, 1.47, 75.3
1997, 한화, 23, 0, 0, 22, 6, 10, 0, 0, 133.1, 84, 81, 587, 124, , 21, 89, 1, 2, 81, 1, 8, 5.47, 5.73, 1.60, 74.0
1998, 한화, 24, 1, 0, 26, 7, 10, 0, 0, 149.1, 91, 87, 666, 150, , 20, 81, 4, 3, 104, 0, 5, 5.24, 4.85, 1.55, 78.0
1999, 삼성, 25, 2, 1, 30, 15, 9, 0, 0, 188.1, 100, 91, 842, 180, , 17, 102, 2, 14, 173, 1, 9, 4.35, 4.42, 1.50, 116.6
2000, 삼성, 26, 1, 0, 25, 11, 8, 0, 0, 138.1, 72, 66, 623, 142, , 15, 86, 0, 3, 103, 0, 7, 4.29, 5.01, 1.65, 110.4
2001, 삼성, 27, 0, 0, 15, 7, 2, 1, 1, 85.2, 47, 44, 406, 88, , 10, 61, 0, 6, 57, 2, 1, 4.62, 5.64, 1.74, 104.0
2002, 삼성, 28, 0, 0, 1, 11, 5, 23, 1, 127.1, 38, 36, 515, 98, , 15, 54, 4, 0, 146, 1, 2, 2.54, 3.42, 1.19, 169.5
2003, 삼성, 29, 0, 0, 0, 9, 10, 21, 1, 83.0, 40, 38, 364, 73, , 8, 48, 2, 5, 87, 0, 1, 4.12, 3.76, 1.46, 105.9
2004, 삼성,롯데, 30, 0, 0, 4, 1, 0, 17, 1, 46.0, 22, 21, 215, 51, , 7, 28, 0, 2, 55, 0, 1, 4.11, 4.49, 1.72, 103.9
, 삼성, 30, 0, 0, 4, 1, 0, 1, 1, 22.1, 17, 16, 117, 32, , 6, 19, 0, 1, 22, 0, 0, 6.45, 7.16, 2.28, 67.3
, 롯데, 30, 0, 0, 0, 0, 0, 16, 0, 23.2, 5, 5, 98, 19, , 1, 9, 0, 1, 33, 0, 1, 1.90, 1.98, 1.18, 224.6
2005, 롯데, 31, 0, 0, 0, 1, 2, 18, 0, 33.0, 9, 9, 125, 19, , 3, 7, 1, 2, 52, 0, 0, 2.45, 1.77, 0.79, 167.8
2006, 롯데, 32, 0, 0, 0, 3, 4, 6, 5, 48.1, 25, 25, 223, 44, , 5, 36, 6, 3, 32, 0, 1, 4.66, 4.77, 1.66, 75.3
