year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, OB, 23, 0, 0, 1, 0, 1, 0, 0, 26.1, 11, 11, 113, 26, , 2, 13, 0, 1, 24, 0, 3, 3.76, 3.57, 1.48, 96.8
1995, OB, 24, 0, 0, 0, 0, 0, 0, 0, 3.1, 4, 4, 16, 3, , 0, 4, 1, 0, 2, 0, 1, 10.80, 4.31, 2.10, 33.0
1996, OB, 25, 0, 0, 2, 0, 1, 1, 0, 35.0, 11, 10, 160, 32, , 1, 21, 3, 2, 28, 1, 5, 2.57, 3.27, 1.51, 138.0
1997, OB, 26, 0, 0, 0, 0, 2, 0, 0, 40.0, 18, 15, 174, 35, , 1, 24, 4, 0, 36, 0, 0, 3.38, 2.90, 1.48, 115.6
1998, OB, 27, 0, 0, 0, 0, 2, 1, 0, 31.0, 27, 25, 149, 38, , 6, 21, 1, 2, 20, 1, 4, 7.26, 6.25, 1.90, 53.1
1999, LG, 28, 0, 0, 2, 1, 0, 0, 0, 43.1, 27, 25, 191, 45, , 8, 17, 0, 2, 38, 0, 4, 5.19, 5.23, 1.43, 93.6
2000, LG, 29, 0, 0, 3, 3, 2, 0, 1, 43.0, 31, 31, 187, 46, , 6, 11, 1, 3, 42, 0, 3, 6.49, 3.93, 1.33, 68.9
2001, LG, 30, 0, 0, 0, 3, 2, 1, 6, 35.0, 29, 29, 167, 38, , 8, 23, 3, 5, 34, 0, 1, 7.46, 6.28, 1.74, 61.5
2002, LG, 31, 0, 0, 1, 0, 2, 0, 13, 46.0, 25, 21, 190, 40, , 9, 14, 1, 1, 46, 0, 1, 4.11, 4.46, 1.17, 100.6
2003, LG, 32, 0, 0, 1, 1, 2, 0, 12, 37.2, 14, 13, 162, 33, , 6, 19, 3, 4, 44, 0, 1, 3.11, 4.09, 1.38, 133.7
2004, LG, 33, 0, 0, 0, 0, 3, 1, 17, 50.2, 22, 19, 224, 49, , 2, 22, 3, 2, 53, 0, 4, 3.38, 2.61, 1.40, 124.4
2005, LG, 34, 0, 0, 3, 0, 5, 0, 13, 52.0, 25, 21, 221, 51, , 3, 16, 0, 5, 41, 0, 0, 3.63, 3.40, 1.29, 114.6
2006, LG, 35, 0, 0, 0, 0, 1, 1, 4, 8.2, 5, 5, 41, 11, , 0, 4, 0, 0, 8, 0, 2, 5.19, 2.24, 1.73, 68.3
2007, LG, 36, 0, 0, 0, 0, 3, 0, 23, 40.0, 13, 12, 176, 37, , 1, 22, 0, 0, 36, 0, 3, 2.70, 3.01, 1.48, 143.9
2008, LG, 37, 0, 0, 0, 0, 1, 0, 2, 14.2, 18, 18, 81, 27, , 1, 9, 0, 1, 10, 0, 0, 11.05, 4.72, 2.46, 37.1
2009, LG, 38, 0, 0, 0, 4, 1, 1, 12, 48.2, 16, 16, 187, 38, , 2, 14, 0, 3, 33, 0, 0, 2.96, 3.41, 1.07, 161.0
2010, LG, 39, 0, 0, 0, 0, 0, 0, 0, 4.2, 6, 4, 28, 10, , 0, 4, 1, 1, 3, 0, 0, 7.71, 4.57, 3.00, 58.9
2012, LG, 41, 0, 0, 0, 3, 1, 0, 3, 24.1, 9, 9, 98, 20, , 2, 8, 0, 1, 15, 0, 0, 3.33, 4.05, 1.15, 114.8
2013, LG, 42, 0, 0, 0, 0, 0, 0, 16, 29.1, 10, 10, 125, 31, , 2, 6, 0, 2, 23, 0, 1, 3.07, 3.49, 1.26, 138.3
2014, LG, 43, 0, 0, 0, 0, 0, 0, 0, 1.0, 3, 3, 6, 3, 0, 2, 0, 0, 1, 0, 0, 0, 27.00, 32.86, 3.00, 18.3
