year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1997, 롯데, 25, 0, 0, 0, 2, 5, 8, 0, 39.0, 21, 21, 167, 40, , 2, 15, 1, 1, 23, 1, 2, 4.85, 3.51, 1.41, 84.6
1998, 롯데, 26, 5, 3, 13, 12, 5, 6, 0, 136.2, 50, 48, 551, 121, , 7, 39, 6, 1, 86, 1, 5, 3.16, 3.05, 1.17, 128.1
1999, 롯데, 27, 6, 1, 28, 17, 4, 0, 0, 189.1, 75, 69, 781, 171, , 12, 67, 2, 9, 141, 0, 12, 3.28, 3.78, 1.26, 153.1
2000, 롯데, 28, 1, 0, 10, 7, 3, 0, 0, 72.0, 33, 31, 304, 71, , 6, 24, 1, 1, 58, 0, 2, 3.88, 3.63, 1.32, 119.9
2001, 롯데, 29, 0, 0, 5, 2, 4, 0, 0, 37.0, 29, 27, 172, 44, , 4, 22, 2, 0, 21, 0, 0, 6.57, 5.00, 1.78, 71.4
2002, 롯데, 30, 1, 0, 10, 2, 7, 2, 0, 67.0, 46, 38, 303, 83, , 8, 22, 0, 3, 49, 0, 0, 5.10, 4.21, 1.57, 82.4
2004, 한화, 32, 0, 0, 22, 4, 15, 0, 0, 120.2, 88, 72, 557, 147, , 20, 45, 1, 5, 56, 0, 2, 5.37, 5.39, 1.59, 82.1
2005, 한화, 33, 1, 0, 26, 10, 9, 0, 0, 173.2, 74, 67, 739, 174, , 12, 57, 2, 3, 103, 0, 3, 3.47, 3.73, 1.33, 126.1
2006, 한화, 34, 4, 2, 29, 16, 9, 1, 0, 189.0, 78, 64, 798, 186, , 10, 67, 0, 11, 85, 0, 5, 3.05, 3.73, 1.34, 123.0
2007, 한화, 35, 1, 0, 11, 5, 3, 0, 1, 84.0, 32, 29, 371, 87, , 8, 37, 3, 3, 37, 0, 0, 3.11, 4.51, 1.48, 129.4
