year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2010, 넥센, 19, 0, 0, 6, 1, 5, 0, 0, 69.1, 43, 38, 299, 63, , 9, 46, 0, 1, 57, 0, 6, 4.93, 5.36, 1.57, 92.2
2011, 넥센, 20, 0, 0, 25, 5, 12, 0, 0, 130.2, 63, 63, 581, 129, , 13, 78, 0, 4, 108, 0, 7, 4.34, 4.71, 1.58, 94.7
2012, 넥센, 21, 0, 0, 5, 1, 1, 0, 3, 38.1, 21, 18, 162, 38, , 0, 11, 0, 0, 31, 0, 0, 4.23, 2.35, 1.28, 90.7
2013, 넥센, 22, 0, 0, 10, 5, 4, 0, 0, 64.0, 35, 32, 280, 73, , 8, 22, 0, 3, 55, 0, 2, 4.50, 4.43, 1.48, 96.8
2014, 넥센, 23, 0, 0, 17, 9, 4, 0, 1, 85.1, 59, 56, 402, 96, 1, 12, 48, 0, 5, 51, 0, 4, 5.91, 6.35, 1.69, 89.3
2015, 넥센, 24, 0, 0, 13, 0, 5, 0, 1, 91.2, 75, 64, 425, 114, 1, 10, 39, 0, 5, 58, 0, 9, 6.28, 5.21, 1.67, 79.2
2018, 넥센, 27, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 5, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0.00, 4.83, 2.00, 
2020, 키움, 29, 0, 0, 2, 1, 1, 0, 0, 15.0, 7, 7, 63, 13, 0, 1, 11, 0, 0, 13, 0, 0, 4.20, 4.89, 1.60, 112.3
2021, 키움, 30, 0, 0, 0, 0, 0, 0, 0, 3.1, 2, 2, 18, 3, 0, 0, 6, 0, 0, 3, 0, 1, 5.40, 6.93, 2.70, 82.1
2022, 키움, 31, 0, 0, 0, 0, 0, 3, 4, 12.1, 4, 4, 48, 7, 0, 0, 6, 0, 0, 12, 0, 1, 2.92, 2.73, 1.05, 125.9
