year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1984, 해태, 19, 0, 0, 0, 0, 0, 0, 0, 12.2, 6, 6, 55, 12, , 0, 5, 0, 1, 14, 0, 1, 4.26, 1.35, 1.34, 77.3
1985, 해태, 20, 2, 0, 24, 12, 8, 1, 0, 144.2, 69, 56, 631, 159, , 11, 48, 1, 5, 64, 2, 1, 3.48, 3.40, 1.43, 100.2
1986, 해태, 21, 0, 0, 11, 7, 2, 0, 0, 75.0, 27, 25, 299, 66, , 2, 24, 0, 3, 22, 0, 0, 3.00, 2.92, 1.20, 101.7
1987, 해태, 22, 4, 1, 13, 7, 7, 2, 0, 109.1, 34, 27, 429, 89, , 5, 27, 1, 4, 37, 1, 0, 2.22, 3.21, 1.06, 156.9
1988, 해태, 23, 4, 1, 13, 8, 7, 3, 0, 110.1, 45, 37, 458, 101, , 9, 33, 1, 1, 55, 0, 2, 3.02, 3.54, 1.22, 126.9
1989, 해태, 24, 2, 1, 14, 6, 10, 1, 0, 121.1, 60, 53, 530, 110, , 7, 65, 2, 2, 59, 0, 1, 3.93, 3.99, 1.44, 93.2
1990, 해태, 25, 0, 0, 2, 0, 0, 0, 0, 18.0, 6, 5, 73, 14, , 0, 8, 0, 0, 5, 1, 0, 2.50, 3.35, 1.22, 152.4
1991, 해태, 26, 1, 1, 8, 4, 0, 4, 0, 75.0, 26, 24, 319, 61, , 5, 37, 0, 2, 46, 0, 2, 2.88, 3.89, 1.31, 137.9
1992, 해태, 27, 3, 0, 23, 10, 8, 1, 0, 145.1, 91, 82, 644, 145, , 12, 56, 2, 12, 73, 0, 4, 5.08, 4.21, 1.38, 85.1
1993, 해태, 28, 1, 1, 10, 5, 2, 0, 0, 63.2, 31, 27, 276, 71, , 2, 14, 0, 5, 35, 1, 0, 3.82, 2.67, 1.34, 87.0
1994, 해태, 29, 0, 0, 8, 0, 5, 1, 0, 53.1, 39, 32, 246, 58, , 4, 25, 0, 5, 21, 0, 1, 5.40, 4.69, 1.56, 71.1
1995, 해태, 30, 0, 0, 0, 0, 0, 0, 0, 14.2, 13, 13, 71, 26, , 0, 3, 0, 0, 7, 0, 1, 7.98, 2.47, 1.98, 47.3
