year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, 삼성, 23, 0, 0, 12, 4, 6, 0, 0, 72.2, 44, 38, 323, 85, , 3, 18, 0, 8, 30, 0, 2, 4.71, 3.59, 1.42, 80.3
1996, 삼성, 24, 0, 0, 3, 2, 2, 2, 0, 57.2, 37, 30, 258, 71, , 6, 16, 3, 10, 26, 0, 3, 4.68, 4.44, 1.51, 80.7
1997, 삼성,롯데, 25, 0, 0, 7, 1, 4, 0, 0, 42.1, 40, 33, 203, 64, , 3, 10, 0, 4, 24, 0, 2, 7.02, 3.65, 1.75, 58.4
, 삼성, 25, 0, 0, 0, 0, 0, 0, 0, 2.1, 7, 7, 17, 9, , 0, 1, 0, 1, 0, 0, 2, 27.00, 5.45, 4.29, 15.3
, 롯데, 25, 0, 0, 7, 1, 4, 0, 0, 40.0, 33, 26, 186, 55, , 3, 9, 0, 3, 24, 0, 0, 5.85, 3.55, 1.60, 70.1
1998, 롯데, 26, 0, 0, 3, 0, 1, 0, 0, 30.2, 24, 22, 145, 41, , 8, 10, 0, 5, 18, 0, 1, 6.46, 6.58, 1.66, 62.7
1999, 롯데, 27, 2, 1, 16, 11, 3, 2, 0, 148.1, 65, 59, 611, 123, , 14, 44, 1, 14, 101, 0, 3, 3.58, 4.29, 1.13, 140.2
2000, 롯데, 28, 0, 0, 3, 7, 6, 8, 6, 94.1, 26, 26, 388, 79, , 5, 25, 4, 9, 65, 0, 1, 2.48, 3.42, 1.10, 187.4
2001, 롯데, 29, 0, 0, 11, 4, 10, 14, 1, 133.0, 50, 44, 549, 127, , 6, 34, 3, 19, 81, 0, 2, 2.98, 3.61, 1.21, 157.4
2003, 롯데, 31, 0, 0, 0, 0, 0, 0, 0, 2.2, 1, 1, 14, 7, , 0, 0, 0, 0, 2, 0, 0, 3.38, 1.26, 2.63, 125.5
2004, 롯데,삼성, 32, 0, 0, 0, 4, 4, 1, 6, 62.2, 21, 16, 249, 47, , 4, 8, 0, 8, 33, 0, 1, 2.30, 3.49, 0.88, 188.8
, 삼성, 32, 0, 0, 0, 1, 2, 1, 6, 28.0, 6, 6, 107, 18, , 2, 3, 0, 2, 18, 0, 0, 1.93, 3.13, 0.75, 225.0
, 롯데, 32, 0, 0, 0, 3, 2, 0, 0, 34.2, 15, 10, 142, 29, , 2, 5, 0, 6, 15, 0, 1, 2.60, 3.79, 0.98, 164.5
2005, 삼성, 33, 0, 0, 0, 8, 0, 1, 15, 62.1, 29, 24, 262, 59, , 4, 7, 3, 9, 24, 0, 0, 3.47, 3.71, 1.06, 122.8
2006, 삼성, 34, 0, 0, 0, 3, 1, 0, 2, 22.1, 13, 12, 107, 37, , 2, 4, 0, 3, 11, 0, 0, 4.84, 3.82, 1.84, 74.8
2007, 롯데,LG, 35, 0, 0, 0, 1, 1, 0, 0, 31.0, 19, 15, 131, 32, , 1, 6, 0, 6, 7, 0, 1, 4.35, 3.96, 1.23, 89.2
, 롯데, 35, 0, 0, 0, 0, 1, 0, 0, 13.0, 8, 6, 56, 16, , 0, 3, 0, 0, 5, 0, 0, 4.15, 2.75, 1.46, 92.1
, LG, 35, 0, 0, 0, 1, 0, 0, 0, 18.0, 11, 9, 75, 16, , 1, 3, 0, 6, 2, 0, 1, 4.50, 4.83, 1.06, 86.3
2008, LG, 36, 0, 0, 0, 0, 0, 0, 0, 1.0, 4, 4, 11, 8, , 0, 0, 0, 0, 0, 0, 0, 36.00, 3.15, 8.00, 11.4
