year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, 두산, 23, 0, 0, 1, 1, 1, 0, 0, 15.1, 15, 14, 74, 26, , 4, 5, 0, 1, 9, 0, 0, 8.22, 6.41, 2.02, 50.4
2006, 두산, 24, 0, 0, 0, 0, 0, 0, 0, 4.2, 5, 5, 26, 5, , 1, 6, 1, 1, 1, 0, 3, 9.64, 8.92, 2.36, 37.1
2009, 두산, 27, 0, 0, 0, 0, 0, 1, 0, 27.2, 18, 18, 124, 35, , 3, 9, 0, 1, 16, 0, 5, 5.86, 4.53, 1.59, 81.1
2010, 두산, 28, 0, 0, 1, 1, 1, 0, 0, 14.2, 10, 10, 65, 17, , 4, 5, 0, 2, 11, 0, 0, 6.14, 6.76, 1.50, 74.1
2011, 두산, 29, 0, 0, 0, 0, 0, 0, 0, 4.0, 4, 4, 19, 6, , 1, 1, 0, 1, 0, 0, 0, 9.00, 7.94, 1.75, 45.5
2012, SK, 30, 0, 0, 3, 4, 3, 0, 3, 77.1, 29, 27, 309, 52, , 6, 30, 0, 4, 48, 1, 1, 3.14, 4.19, 1.06, 121.3
2013, SK, 31, 0, 0, 0, 5, 2, 0, 14, 49.0, 11, 9, 208, 40, , 3, 24, 0, 4, 53, 0, 2, 1.65, 3.70, 1.31, 262.5
2014, SK, 32, 0, 0, 0, 6, 4, 1, 10, 43.1, 29, 28, 197, 42, 1, 3, 23, 3, 6, 34, 0, 5, 5.82, 4.99, 1.50, 87.8
2015, SK, 33, 0, 0, 0, 2, 2, 0, 2, 25.1, 15, 15, 115, 25, 2, 3, 13, 3, 2, 28, 0, 1, 5.33, 4.37, 1.50, 90.6
2016, SK, 34, 0, 0, 0, 2, 3, 2, 11, 51.2, 34, 31, 223, 55, 1, 6, 17, 1, 3, 26, 0, 7, 5.40, 5.40, 1.39, 96.7
2017, SK, 35, 0, 0, 0, 5, 3, 7, 16, 68.0, 32, 27, 290, 58, 2, 9, 33, 6, 3, 49, 0, 4, 3.57, 5.34, 1.34, 140.8
2018, SK, 36, 0, 0, 0, 1, 3, 9, 2, 44.2, 30, 29, 197, 51, 0, 9, 12, 2, 2, 44, 0, 1, 5.84, 5.29, 1.41, 90.0
2019, SK, 37, 0, 0, 0, 1, 1, 0, 1, 19.2, 22, 22, 90, 29, 0, 4, 2, 0, 2, 9, 0, 0, 10.07, 5.74, 1.58, 42.1
