year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1988, 태평양, 19, 0, 0, 2, 0, 1, 0, 0, 18.2, 17, 16, 86, 25, , 4, 8, 0, 2, 8, 0, 0, 7.71, 6.11, 1.77, 49.6
1989, 태평양, 20, 17, 4, 25, 19, 10, 2, 0, 242.2, 64, 58, 970, 183, , 5, 86, 12, 9, 116, 0, 0, 2.15, 2.94, 1.11, 171.2
1990, 태평양, 21, 9, 2, 21, 13, 7, 7, 0, 191.2, 66, 56, 782, 177, , 7, 55, 5, 8, 66, 0, 2, 2.63, 3.26, 1.21, 143.3
1991, 태평양, 22, 13, 1, 25, 10, 12, 2, 0, 184.0, 82, 71, 781, 190, , 11, 66, 9, 6, 47, 0, 2, 3.47, 3.98, 1.39, 112.7
1992, 태평양, 23, 8, 0, 20, 13, 7, 6, 0, 165.2, 75, 68, 705, 154, , 12, 72, 2, 12, 85, 1, 3, 3.69, 4.18, 1.36, 116.9
1994, 태평양, 25, 0, 0, 8, 2, 3, 0, 0, 37.2, 25, 19, 172, 43, , 2, 12, 0, 3, 15, 0, 2, 4.54, 3.90, 1.46, 84.6
1995, 태평양, 26, 0, 0, 0, 0, 0, 0, 0, 4.2, 4, 4, 21, 4, , 0, 5, 0, 0, 2, 0, 0, 7.71, 5.17, 1.93, 48.1
1996, 현대, 27, 0, 0, 2, 0, 0, 0, 0, 15.2, 13, 12, 80, 18, , 2, 13, 0, 2, 9, 0, 0, 6.89, 6.17, 1.98, 53.2
1997, 현대, 28, 0, 0, 0, 0, 0, 0, 0, 25.1, 19, 18, 111, 26, , 4, 10, 0, 6, 19, 0, 2, 6.39, 5.32, 1.42, 62.4
1998, 현대,쌍방울, 29, 0, 0, 3, 2, 1, 1, 0, 24.1, 7, 6, 101, 21, , 3, 9, 1, 3, 13, 0, 2, 2.22, 4.79, 1.23, 179.0
, 현대, 29, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, , , , 
, 쌍방울, 29, 0, 0, 3, 2, 1, 1, 0, 24.1, 7, 6, 101, 21, , 3, 9, 1, 3, 13, 0, 2, 2.22, 4.79, 1.23, 179.0
1999, 쌍방울, 30, 1, 0, 14, 5, 11, 3, 0, 124.0, 61, 54, 545, 110, , 10, 60, 2, 9, 56, 0, 10, 3.92, 5.04, 1.37, 125.8
2000, SK, 31, 0, 0, 4, 1, 2, 0, 0, 56.1, 39, 36, 275, 75, , 7, 33, 5, 5, 24, 0, 4, 5.75, 5.68, 1.92, 80.7
