year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, LG, 27, 0, 0, 22, 6, 7, 0, 0, 111.2, 71, 66, 498, 121, , 6, 53, 0, 7, 56, 0, 11, 5.32, 4.14, 1.56, 73.0
2008, LG, 28, 0, 0, 28, 11, 8, 0, 0, 186.1, 66, 55, 767, 153, , 13, 68, 0, 12, 140, 0, 6, 2.66, 3.84, 1.19, 154.1
2009, LG, 29, 0, 0, 26, 11, 12, 0, 0, 172.1, 70, 63, 719, 160, , 13, 57, 0, 14, 127, 0, 7, 3.29, 3.93, 1.26, 144.8
2010, LG, 30, 0, 0, 28, 10, 9, 0, 0, 178.1, 74, 71, 752, 166, , 13, 69, 2, 14, 130, 1, 11, 3.58, 4.14, 1.32, 126.9
2011, LG, 31, 0, 0, 3, 1, 2, 0, 0, 16.1, 9, 9, 75, 13, , 1, 9, 0, 5, 7, 1, 0, 4.96, 5.70, 1.35, 82.7
2012, LG, 32, 0, 0, 0, 0, 1, 26, 0, 38.0, 5, 5, 152, 26, , 1, 10, 0, 4, 36, 0, 1, 1.18, 2.66, 0.95, 322.7
2013, LG, 33, 0, 0, 0, 8, 1, 38, 0, 61.0, 10, 9, 241, 44, , 2, 27, 0, 3, 54, 0, 3, 1.33, 3.48, 1.16, 319.6
2014, LG, 34, 0, 0, 0, 2, 4, 30, 0, 49.2, 16, 16, 216, 51, 0, 2, 17, 2, 4, 45, 0, 6, 2.90, 3.71, 1.37, 170.8
2015, LG, 35, 0, 0, 2, 5, 2, 15, 0, 49.1, 28, 27, 223, 60, 0, 10, 23, 4, 6, 39, 0, 3, 4.93, 6.19, 1.68, 95.3
2016, LG, 36, 0, 0, 5, 1, 0, 0, 2, 36.1, 23, 20, 175, 41, 0, 4, 22, 0, 2, 20, 0, 0, 4.95, 6.10, 1.73, 102.7
