year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 삼성, 24, 6, 1, 19, 15, 5, 2, 0, 149.0, 48, 39, 607, 135, , 9, 40, 3, 3, 60, 2, 2, 2.36, 2.86, 1.17, 131.2
1987, 삼성, 25, 4, 2, 14, 4, 7, 1, 0, 109.0, 44, 43, 459, 111, , 11, 47, 5, 1, 32, 0, 1, 3.55, 4.38, 1.45, 100.5
1988, 삼성, 26, 4, 2, 21, 11, 8, 2, 0, 159.2, 67, 59, 668, 135, , 17, 74, 3, 3, 59, 1, 4, 3.33, 4.61, 1.31, 116.0
1989, 삼성, 27, 0, 0, 7, 3, 2, 0, 0, 58.1, 23, 22, 243, 55, , 4, 23, 1, 1, 14, 0, 0, 3.39, 4.20, 1.34, 112.0
1990, 삼성, 28, 0, 0, 4, 3, 1, 1, 0, 36.0, 10, 9, 145, 32, , 2, 13, 0, 0, 19, 0, 1, 2.25, 3.32, 1.25, 175.6
1991, 삼성, 29, 2, 1, 24, 8, 4, 1, 0, 148.2, 61, 49, 635, 141, , 9, 54, 0, 2, 59, 0, 2, 2.97, 3.81, 1.31, 137.0
1992, 삼성, 30, 6, 1, 21, 8, 6, 0, 0, 124.0, 57, 55, 541, 120, , 15, 57, 0, 4, 65, 0, 2, 3.99, 4.78, 1.43, 109.9
1993, 삼성, 31, 6, 2, 21, 12, 4, 0, 0, 139.0, 34, 32, 562, 115, , 8, 51, 3, 3, 51, 0, 1, 2.07, 3.58, 1.19, 160.7
1994, 삼성, 32, 3, 1, 24, 14, 8, 0, 0, 152.1, 66, 57, 636, 130, , 9, 62, 0, 6, 46, 0, 5, 3.37, 4.31, 1.26, 114.2
1995, 삼성, 33, 1, 0, 22, 7, 8, 0, 0, 126.0, 67, 61, 544, 127, , 13, 45, 0, 7, 58, 0, 1, 4.36, 4.47, 1.37, 86.8
1996, 삼성, 34, 0, 0, 13, 3, 3, 0, 0, 50.0, 22, 22, 229, 52, , 4, 31, 1, 4, 36, 0, 0, 3.96, 4.43, 1.66, 95.4
1997, 삼성, 35, 0, 0, 16, 7, 7, 0, 0, 89.2, 44, 33, 386, 91, , 6, 35, 1, 9, 45, 0, 1, 3.31, 4.18, 1.41, 125.1
1998, 삼성, 36, 0, 0, 8, 1, 1, 0, 0, 40.2, 22, 22, 183, 48, , 4, 22, 1, 1, 16, 0, 1, 4.87, 5.01, 1.72, 84.4
1999, 롯데, 37, 0, 0, 2, 1, 2, 1, 0, 23.1, 16, 15, 103, 25, , 4, 12, 0, 0, 15, 1, 0, 5.79, 5.76, 1.59, 86.8
