year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, 롯데, 27, 2, 0, 17, 5, 5, 0, 0, 117.0, 52, 50, 504, 115, , 13, 49, 7, 6, 76, 0, 5, 3.85, 4.21, 1.40, 99.5
2008, 롯데, 28, 2, 1, 26, 12, 7, 0, 0, 153.1, 78, 64, 663, 154, , 7, 70, 3, 6, 114, 0, 6, 3.76, 3.68, 1.46, 107.2
2009, 롯데, 29, 3, 3, 29, 13, 8, 0, 0, 167.2, 92, 88, 735, 175, , 25, 68, 4, 8, 104, 0, 10, 4.72, 5.17, 1.45, 101.4
2010, 롯데, 30, 1, 0, 27, 14, 6, 0, 0, 168.0, 90, 82, 709, 156, , 20, 60, 4, 9, 113, 0, 10, 4.39, 4.65, 1.29, 105.3
2011, 롯데, 31, 0, 0, 29, 13, 10, 0, 0, 172.1, 84, 80, 730, 181, , 17, 59, 1, 7, 126, 1, 6, 4.18, 4.14, 1.39, 100.4
2012, 롯데, 32, 0, 0, 28, 7, 11, 0, 0, 163.0, 73, 60, 687, 158, , 12, 57, 0, 8, 117, 0, 5, 3.31, 3.82, 1.32, 115.7
2013, 롯데, 33, 0, 0, 29, 12, 6, 0, 0, 167.2, 74, 70, 720, 171, , 11, 64, 0, 4, 133, 0, 4, 3.76, 3.83, 1.40, 116.3
2014, 롯데, 34, 0, 0, 23, 8, 11, 0, 0, 122.0, 91, 81, 572, 166, 4, 16, 43, 0, 10, 89, 0, 4, 5.98, 5.41, 1.71, 91.2
2015, 롯데, 35, 0, 0, 23, 8, 7, 0, 0, 125.0, 71, 66, 551, 131, 1, 17, 46, 1, 4, 112, 0, 8, 4.75, 4.77, 1.42, 106.1
2016, 롯데, 36, 0, 0, 10, 1, 2, 0, 0, 41.1, 43, 40, 201, 62, 1, 6, 21, 0, 2, 35, 0, 4, 8.71, 5.66, 2.01, 60.0
2017, 롯데, 37, 0, 0, 22, 11, 5, 0, 1, 130.1, 63, 61, 558, 132, 3, 19, 41, 1, 4, 113, 0, 6, 4.21, 4.91, 1.33, 119.6
2018, 롯데, 38, 0, 0, 15, 3, 4, 0, 0, 79.0, 58, 54, 361, 93, 2, 8, 35, 0, 4, 68, 0, 5, 6.15, 4.91, 1.62, 84.8
2019, 롯데, 39, 0, 0, 1, 0, 1, 0, 0, 14.1, 7, 7, 64, 16, 0, 2, 6, 0, 0, 13, 0, 0, 4.40, 4.66, 1.54, 95.5
2020, 롯데, 40, 0, 0, 1, 2, 2, 0, 1, 24.2, 17, 17, 119, 30, 2, 2, 14, 2, 3, 25, 0, 3, 6.20, 4.41, 1.78, 78.5
