year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, 현대, 24, 0, 0, 5, 4, 2, 3, 2, 115.1, 59, 54, 498, 113, , 9, 48, 1, 3, 80, 0, 6, 4.21, 4.04, 1.40, 111.4
2002, 현대, 25, 0, 0, 9, 6, 2, 0, 4, 104.2, 52, 51, 448, 109, , 14, 32, 0, 5, 67, 1, 5, 4.39, 4.52, 1.35, 97.4
2003, 현대, 26, 0, 0, 9, 5, 4, 0, 0, 68.0, 37, 35, 301, 76, , 8, 26, 0, 4, 39, 0, 2, 4.63, 4.47, 1.50, 93.3
2004, 현대, 27, 0, 0, 1, 8, 0, 1, 6, 81.2, 37, 32, 358, 85, , 9, 28, 0, 4, 64, 0, 3, 3.53, 3.99, 1.38, 122.8
2005, 현대, 28, 0, 0, 5, 1, 4, 0, 5, 74.2, 32, 31, 328, 71, , 2, 34, 0, 6, 53, 0, 2, 3.74, 3.55, 1.41, 114.8
2006, 현대, 29, 1, 1, 9, 6, 5, 0, 1, 95.1, 52, 48, 422, 95, , 8, 31, 0, 12, 60, 0, 2, 4.53, 3.89, 1.32, 79.7
2007, 현대, 30, 0, 0, 0, 3, 3, 14, 4, 77.2, 29, 26, 323, 67, , 5, 27, 4, 5, 56, 0, 4, 3.01, 3.31, 1.21, 132.4
2008, 히어로즈, 31, 0, 0, 1, 2, 8, 4, 9, 72.1, 47, 42, 333, 82, , 6, 34, 8, 8, 63, 0, 0, 5.23, 3.90, 1.60, 81.1
2009, 히어로즈, 32, 0, 0, 0, 3, 3, 4, 6, 75.2, 50, 44, 348, 84, , 13, 30, 2, 11, 68, 0, 3, 5.23, 5.17, 1.51, 92.2
2010, 넥센, 33, 0, 0, 0, 5, 5, 1, 14, 77.0, 38, 36, 341, 75, , 5, 40, 4, 3, 63, 0, 4, 4.21, 4.01, 1.49, 108.1
2011, 넥센,LG, 34, 0, 0, 0, 3, 3, 19, 7, 72.1, 19, 18, 302, 67, , 4, 20, 4, 5, 57, 0, 4, 2.24, 3.21, 1.20, 183.1
, 넥센, 34, 0, 0, 0, 3, 1, 9, 7, 49.2, 14, 13, 210, 48, , 3, 16, 3, 3, 40, 0, 3, 2.36, 3.33, 1.29, 174.4
, LG, 34, 0, 0, 0, 0, 2, 10, 0, 22.2, 5, 5, 92, 19, , 1, 4, 1, 2, 17, 0, 1, 1.99, 2.93, 1.02, 206.5
2012, 한화, 35, 0, 0, 0, 1, 3, 0, 2, 23.2, 16, 13, 117, 37, , 3, 8, 1, 4, 17, 0, 2, 4.94, 4.71, 1.90, 79.1
2013, 넥센,NC, 36, 0, 0, 0, 4, 3, 1, 15, 61.2, 22, 22, 266, 52, , 1, 33, 0, 8, 43, 0, 3, 3.21, 4.16, 1.38, 133.8
, 넥센, 36, 0, 0, 0, 3, 3, 1, 14, 55.2, 21, 21, 241, 48, , 1, 31, 0, 8, 39, 0, 2, 3.40, 4.28, 1.42, 128.3
, NC, 36, 0, 0, 0, 1, 0, 0, 1, 6.0, 1, 1, 25, 4, , 0, 2, 0, 0, 4, 0, 1, 1.50, 3.02, 1.00, 286.4
2014, 넥센, 37, 0, 0, 0, 2, 1, 0, 2, 42.1, 33, 31, 197, 57, 2, 7, 16, 1, 4, 28, 0, 3, 6.59, 6.03, 1.72, 80.0
2015, 넥센, 38, 0, 0, 16, 7, 4, 0, 0, 69.0, 42, 41, 298, 77, 1, 12, 22, 0, 2, 46, 0, 2, 5.35, 5.59, 1.44, 93.1
2016, 한화, 39, 0, 0, 3, 0, 1, 0, 0, 14.1, 8, 8, 65, 24, 0, 1, 2, 0, 1, 7, 0, 0, 5.02, 4.35, 1.81, 104.5
2017, 한화, 40, 0, 0, 0, 0, 0, 0, 0, 6.1, 3, 3, 26, 6, 0, 0, 0, 0, 2, 6, 0, 0, 4.26, 2.79, 0.95, 117.9
