year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1987, 해태, 21, 0, 0, 1, 0, 0, 0, 0, 15.2, 8, 5, 71, 18, , 2, 9, 0, 1, 4, 0, 0, 2.87, 5.53, 1.72, 121.4
1988, 해태, 22, 0, 0, 1, 1, 0, 0, 0, 15.1, 6, 6, 62, 16, , 0, 6, 0, 0, 5, 0, 0, 3.52, 3.10, 1.44, 108.7
1989, 해태, 23, 0, 0, 1, 0, 0, 0, 0, 16.2, 11, 11, 75, 23, , 2, 3, 0, 0, 8, 0, 3, 5.94, 3.74, 1.56, 61.7
1990, 해태, 24, 0, 0, 2, 2, 1, 2, 0, 98.0, 46, 41, 412, 90, , 3, 45, 0, 8, 62, 1, 4, 3.77, 3.32, 1.38, 101.2
1991, 해태, 25, 2, 0, 9, 11, 4, 5, 0, 145.2, 55, 48, 597, 126, , 8, 62, 2, 8, 74, 0, 7, 2.97, 3.79, 1.29, 133.9
1992, 해태, 26, 1, 0, 8, 4, 10, 4, 0, 117.1, 84, 73, 542, 146, , 12, 52, 2, 6, 59, 0, 5, 5.60, 4.54, 1.69, 77.2
1993, 해태, 27, 0, 0, 11, 11, 6, 1, 0, 124.1, 46, 40, 517, 109, , 8, 46, 1, 10, 67, 0, 4, 2.90, 3.55, 1.25, 114.6
1994, 해태, 28, 0, 0, 3, 10, 8, 7, 0, 116.1, 50, 44, 502, 121, , 4, 44, 4, 10, 57, 0, 3, 3.40, 3.57, 1.42, 112.7
1995, 해태, 29, 0, 0, 3, 10, 3, 3, 0, 120.2, 44, 40, 490, 107, , 10, 41, 0, 8, 51, 0, 6, 2.98, 4.26, 1.23, 126.4
1996, 해태, 30, 0, 0, 5, 2, 1, 3, 0, 71.1, 38, 34, 319, 74, , 6, 27, 0, 15, 32, 0, 1, 4.29, 4.75, 1.42, 87.2
1997, LG, 31, 0, 0, 2, 2, 7, 1, 0, 78.1, 41, 38, 354, 86, , 6, 34, 7, 7, 41, 0, 4, 4.37, 4.12, 1.53, 89.0
1998, LG, 32, 0, 0, 0, 3, 3, 3, 0, 91.0, 32, 30, 375, 92, , 7, 20, 0, 10, 44, 0, 2, 2.97, 3.92, 1.23, 130.4
1999, LG, 33, 0, 0, 0, 5, 3, 5, 0, 82.0, 49, 43, 359, 87, , 13, 27, 1, 6, 51, 2, 5, 4.72, 5.26, 1.39, 103.0
2000, 한화, 34, 0, 0, 0, 1, 4, 2, 2, 64.0, 48, 38, 312, 70, , 8, 42, 1, 14, 21, 0, 4, 5.34, 6.71, 1.75, 89.0
2001, 한화, 35, 0, 0, 0, 0, 0, 0, 0, 3.0, 5, 4, 17, 4, , 1, 3, 0, 1, 1, 0, 0, 12.00, 10.78, 2.33, 40.7
