year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 해태, 20, 0, 0, 3, 0, 1, 0, 0, 19.0, 19, 18, 87, 27, , 2, 5, 0, 0, 9, 0, 0, 8.53, 3.29, 1.68, 35.8
1987, 해태, 21, 2, 1, 14, 5, 4, 0, 0, 127.2, 48, 43, 524, 112, , 10, 53, 4, 3, 67, 0, 0, 3.03, 3.66, 1.29, 115.1
1988, 해태, 22, 2, 1, 11, 5, 2, 1, 0, 81.1, 25, 22, 338, 87, , 6, 19, 1, 2, 40, 1, 0, 2.43, 3.29, 1.30, 157.3
1989, 해태, 23, 3, 2, 20, 9, 5, 1, 0, 153.0, 65, 58, 625, 135, , 17, 31, 0, 3, 92, 0, 0, 3.41, 3.51, 1.09, 107.4
1990, 해태, 24, 3, 1, 20, 5, 8, 3, 0, 143.0, 71, 65, 602, 140, , 15, 47, 6, 2, 56, 0, 0, 4.09, 4.05, 1.31, 93.2
1991, 해태, 25, 5, 2, 18, 14, 7, 5, 0, 176.2, 54, 48, 692, 157, , 14, 31, 2, 0, 85, 0, 6, 2.45, 3.25, 1.06, 162.4
1992, 해태, 26, 0, 0, 23, 13, 9, 0, 0, 137.1, 72, 68, 597, 157, , 17, 40, 1, 4, 65, 0, 5, 4.46, 4.38, 1.43, 97.0
1993, 해태, 27, 0, 0, 5, 1, 1, 1, 0, 37.0, 20, 18, 168, 43, , 2, 15, 0, 2, 16, 0, 0, 4.38, 3.68, 1.57, 75.8
1994, LG, 28, 0, 0, 0, 0, 0, 0, 0, 9.2, 6, 6, 40, 11, , 1, 2, 0, 1, 2, 0, 1, 5.59, 4.67, 1.35, 65.2
1995, LG, 29, 0, 0, 0, 3, 0, 2, 0, 19.1, 4, 4, 75, 14, , 0, 6, 0, 0, 10, 0, 1, 1.86, 2.71, 1.03, 191.1
1996, LG, 30, 0, 0, 1, 0, 2, 1, 0, 41.0, 19, 17, 175, 32, , 3, 23, 2, 2, 22, 0, 1, 3.73, 4.35, 1.34, 95.8
1997, LG, 31, 0, 0, 0, 0, 0, 0, 0, 12.1, 4, 3, 54, 3, , 1, 15, 1, 0, 3, 1, 1, 2.19, 6.85, 1.46, 177.5
1998, OB, 32, 0, 0, 0, 0, 0, 0, 0, 1.0, 4, 4, 9, 5, , 2, 1, 0, 0, 0, 0, 0, 36.00, 31.90, 6.00, 10.7
