year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, KIA, 19, 0, 0, 0, 2, 0, 0, 0, 38.0, 16, 15, 157, 33, , 3, 10, 1, 5, 30, 0, 0, 3.55, 3.55, 1.13, 119.9
2003, KIA, 20, 0, 0, 0, 11, 3, 4, 11, 119.0, 51, 48, 500, 111, , 15, 35, 2, 9, 96, 0, 3, 3.63, 3.84, 1.23, 118.0
2004, KIA, 21, 0, 0, 0, 4, 2, 11, 0, 56.1, 14, 13, 235, 43, , 3, 25, 6, 3, 43, 0, 4, 2.08, 3.29, 1.21, 210.2
2005, KIA, 22, 0, 0, 1, 4, 6, 7, 4, 61.1, 26, 21, 269, 56, , 6, 33, 4, 4, 31, 0, 2, 3.08, 4.89, 1.45, 138.0
2006, KIA, 23, 0, 0, 0, 4, 0, 0, 2, 37.2, 4, 3, 142, 25, , 1, 7, 0, 1, 17, 0, 0, 0.72, 2.78, 0.85, 505.4
2007, KIA, 24, 0, 0, 9, 8, 10, 0, 6, 99.0, 58, 52, 431, 107, , 11, 34, 5, 6, 48, 0, 3, 4.73, 4.37, 1.42, 83.2
2011, KIA, 28, 0, 0, 0, 0, 0, 0, 0, 5.1, 2, 1, 23, 2, , 0, 4, 0, 1, 3, 0, 0, 1.69, 4.88, 1.13, 245.0
2013, 삼성, 30, 0, 0, 0, 2, 0, 0, 2, 40.0, 9, 9, 156, 26, , 5, 16, 0, 0, 36, 0, 1, 2.03, 4.37, 1.05, 211.5
2015, 삼성, 32, 0, 0, 0, 1, 1, 0, 2, 25.2, 23, 20, 131, 35, 0, 2, 16, 2, 2, 22, 0, 5, 7.01, 4.78, 1.99, 70.4
2016, 삼성, 33, 0, 0, 0, 0, 0, 0, 2, 8.0, 7, 3, 43, 12, 0, 0, 4, 0, 3, 7, 0, 0, 3.38, 4.67, 2.00, 156.2
