year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, LG, 20, 0, 0, 0, 0, 0, 0, 0, 5.0, 3, 1, 27, 7, , 0, 2, 0, 1, 4, 0, 0, 1.80, 3.01, 1.80, 197.7
1996, LG, 21, 0, 0, 0, 0, 0, 0, 0, 4.0, 6, 5, 25, 7, , 0, 6, 0, 2, 1, 0, 0, 11.25, 8.29, 3.25, 31.8
1998, LG, 23, 0, 0, 1, 2, 1, 0, 0, 64.0, 34, 33, 279, 53, , 6, 37, 3, 6, 43, 0, 3, 4.64, 4.65, 1.41, 83.4
1999, LG, 24, 0, 0, 3, 0, 0, 0, 0, 32.2, 23, 21, 150, 39, , 2, 15, 0, 1, 23, 0, 2, 5.79, 4.13, 1.65, 84.0
2000, LG, 25, 0, 0, 1, 0, 1, 0, 0, 4.2, 7, 7, 28, 10, , 1, 3, 0, 0, 4, 0, 0, 13.50, 6.16, 2.79, 33.1
2001, LG, 26, 0, 0, 4, 15, 6, 18, 0, 144.1, 58, 50, 629, 129, , 8, 79, 19, 12, 99, 2, 10, 3.12, 3.96, 1.44, 147.2
2002, LG, 27, 0, 0, 4, 4, 3, 1, 2, 60.0, 47, 43, 283, 76, , 9, 23, 4, 10, 44, 0, 4, 6.45, 4.94, 1.65, 64.1
2003, LG, 28, 0, 0, 1, 0, 1, 0, 0, 2.0, 3, 3, 11, 5, , 2, 1, 0, 0, 1, 0, 0, 13.50, 16.26, 3.00, 30.8
2004, LG, 29, 0, 0, 1, 6, 3, 0, 3, 69.2, 45, 42, 313, 77, , 12, 34, 3, 6, 36, 0, 7, 5.43, 5.75, 1.59, 77.4
2005, LG, 30, 0, 0, 0, 1, 4, 9, 1, 31.2, 25, 22, 150, 44, , 3, 15, 2, 1, 15, 0, 0, 6.25, 4.63, 1.86, 66.6
2006, LG, 31, 0, 0, 0, 0, 0, 0, 0, 22.2, 17, 16, 100, 27, , 1, 7, 1, 1, 13, 0, 0, 6.35, 3.06, 1.50, 55.8
2007, LG, 32, 0, 0, 0, 0, 1, 0, 0, 14.0, 7, 7, 68, 20, , 0, 8, 1, 1, 11, 0, 0, 4.50, 2.97, 2.00, 86.3
2008, SK, 33, 0, 0, 0, 0, 0, 0, 0, 0.2, 3, 2, 8, 3, , 0, 3, 0, 0, 1, 0, 0, 27.00, 13.65, 9.00, 15.0
2014, SK, 39, 0, 0, 1, 0, 0, 0, 0, 3.0, 3, 3, 17, 8, 0, 1, 2, 0, 0, 1, 0, 0, 9.00, 9.52, 3.33, 56.7
