year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2012, 삼성, 19, 0, 0, 0, 2, 2, 1, 5, 39.1, 8, 8, 159, 26, , 0, 17, 0, 2, 41, 0, 3, 1.83, 2.47, 1.09, 208.6
2013, 삼성, 20, 0, 0, 0, 1, 0, 2, 14, 50.1, 15, 15, 201, 35, , 3, 19, 0, 4, 57, 1, 1, 2.68, 3.23, 1.07, 159.7
2014, 삼성, 21, 0, 0, 0, 5, 2, 0, 8, 38.1, 33, 29, 188, 42, 0, 7, 26, 2, 4, 38, 0, 2, 6.81, 6.44, 1.77, 77.7
2015, 삼성, 22, 0, 0, 0, 6, 3, 0, 9, 67.1, 32, 32, 280, 54, 0, 7, 24, 1, 5, 91, 0, 2, 4.28, 3.51, 1.16, 115.4
2016, 삼성, 23, 0, 0, 0, 2, 6, 25, 4, 72.2, 29, 24, 303, 59, 0, 6, 26, 3, 4, 76, 1, 1, 2.97, 3.89, 1.17, 177.4
2017, 삼성, 24, 0, 0, 0, 4, 7, 6, 16, 75.1, 36, 35, 333, 55, 0, 12, 44, 7, 7, 103, 0, 5, 4.18, 4.82, 1.31, 121.3
2018, 삼성, 25, 0, 0, 0, 5, 2, 17, 5, 66.1, 32, 30, 284, 57, 2, 12, 22, 2, 9, 68, 0, 1, 4.07, 5.45, 1.19, 130.3
2020, 삼성, 27, 0, 0, 0, 2, 2, 0, 3, 20.1, 20, 17, 98, 18, 1, 3, 18, 0, 2, 21, 0, 4, 7.52, 6.36, 1.77, 65.2
2021, 삼성, 28, 0, 0, 0, 3, 2, 0, 16, 51.1, 32, 29, 238, 47, 0, 8, 32, 0, 6, 58, 1, 2, 5.08, 5.32, 1.54, 88.8
2022, NC, 29, 0, 0, 0, 1, 2, 0, 0, 6.1, 10, 10, 37, 9, 0, 0, 7, 0, 3, 6, 0, 2, 14.21, 6.06, 2.53, 26.2
