year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 태평양, 19, 6, 1, 13, 10, 8, 2, 0, 126.2, 68, 60, 545, 124, , 12, 52, 4, 8, 88, 0, 3, 4.26, 3.95, 1.39, 101.3
1993, 태평양, 20, 9, 1, 21, 4, 10, 0, 0, 170.0, 70, 57, 709, 164, , 8, 60, 4, 4, 100, 0, 3, 3.02, 2.96, 1.32, 107.9
1994, 태평양, 21, 2, 1, 23, 11, 10, 0, 0, 145.2, 55, 55, 619, 148, , 9, 47, 1, 6, 66, 0, 8, 3.40, 3.78, 1.34, 113.0
1995, 태평양, 22, 3, 0, 18, 4, 8, 0, 0, 117.1, 63, 58, 509, 125, , 10, 39, 2, 5, 77, 0, 5, 4.45, 3.68, 1.40, 83.4
1996, 현대, 23, 0, 0, 5, 4, 5, 0, 0, 52.1, 31, 26, 219, 47, , 5, 15, 2, 5, 31, 0, 2, 4.47, 3.88, 1.19, 82.1
1997, 현대, 24, 0, 0, 18, 4, 9, 1, 0, 123.0, 75, 65, 544, 122, , 15, 58, 3, 7, 97, 0, 12, 4.76, 4.39, 1.46, 83.9
1998, 현대, 25, 0, 0, 2, 2, 0, 1, 0, 36.1, 20, 17, 162, 35, , 4, 16, 1, 3, 23, 0, 3, 4.21, 4.55, 1.40, 94.4
1999, LG, 26, 0, 0, 7, 0, 3, 0, 0, 28.0, 42, 39, 150, 51, , 9, 11, 0, 2, 17, 0, 1, 12.54, 7.63, 2.21, 38.8
2000, LG, 27, 0, 0, 12, 6, 3, 0, 0, 68.0, 42, 40, 296, 77, , 10, 22, 1, 2, 40, 1, 5, 5.29, 4.91, 1.46, 84.5
2001, LG, 28, 0, 0, 16, 1, 8, 0, 0, 80.1, 71, 66, 387, 102, , 9, 47, 0, 6, 38, 1, 3, 7.39, 5.60, 1.86, 62.1
2002, LG, 29, 0, 0, 7, 0, 3, 0, 0, 25.1, 20, 13, 118, 26, , 4, 10, 1, 6, 15, 0, 1, 4.62, 5.65, 1.42, 89.5
2003, LG, 30, 0, 0, 0, 0, 0, 0, 0, 0.2, 0, 0, 4, 2, , 0, 0, 0, 0, 0, 0, 0, 0.00, 2.76, 3.00, 
