year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2003, 한화, 19, 0, 0, 0, 3, 0, 2, 1, 44.0, 19, 19, 191, 44, , 6, 15, 0, 2, 26, 2, 2, 3.89, 4.51, 1.34, 111.7
2004, 한화, 20, 0, 0, 1, 0, 1, 0, 0, 15.1, 11, 11, 72, 16, , 1, 9, 0, 4, 7, 0, 3, 6.46, 5.43, 1.63, 68.3
2005, 한화, 21, 0, 0, 4, 0, 2, 0, 0, 20.2, 17, 14, 102, 26, , 3, 12, 0, 2, 14, 0, 1, 6.10, 5.58, 1.84, 71.8
2006, 한화, 22, 1, 0, 7, 3, 4, 0, 5, 76.2, 30, 28, 325, 71, , 9, 31, 1, 4, 48, 0, 1, 3.29, 4.31, 1.33, 114.0
2007, 한화, 23, 0, 0, 1, 1, 1, 5, 15, 94.0, 33, 32, 390, 78, , 9, 39, 3, 4, 79, 0, 2, 3.06, 3.67, 1.25, 131.2
2008, 한화, 24, 0, 0, 2, 7, 1, 2, 5, 57.2, 35, 34, 265, 56, , 11, 40, 4, 4, 39, 2, 0, 5.31, 6.36, 1.67, 79.9
2009, 한화, 25, 0, 0, 26, 11, 8, 0, 0, 140.2, 88, 81, 609, 148, , 34, 45, 1, 7, 87, 0, 3, 5.18, 6.18, 1.37, 94.4
2010, 한화,KIA, 26, 0, 0, 3, 6, 8, 3, 3, 69.1, 54, 52, 319, 80, , 15, 35, 1, 3, 82, 0, 3, 6.75, 5.33, 1.66, 67.6
, 한화, 26, 0, 0, 3, 3, 1, 0, 0, 28.2, 27, 26, 133, 36, , 10, 16, 0, 1, 26, 0, 1, 8.16, 7.79, 1.81, 56.6
, KIA, 26, 0, 0, 0, 3, 7, 3, 3, 40.2, 27, 26, 186, 44, , 5, 19, 1, 2, 56, 0, 2, 5.75, 3.61, 1.55, 79.3
2011, 한화, 27, 0, 0, 0, 0, 0, 0, 0, 4.1, 6, 2, 24, 7, , 2, 2, 0, 0, 4, 0, 0, 4.15, 8.73, 2.08, 100.6
2014, 한화, 30, 0, 0, 6, 7, 6, 4, 6, 97.2, 59, 49, 447, 114, 3, 8, 36, 1, 13, 64, 0, 3, 4.52, 5.08, 1.54, 120.1
2015, 한화, 31, 0, 0, 27, 10, 6, 0, 1, 125.1, 77, 71, 568, 137, 1, 15, 60, 1, 11, 82, 0, 4, 5.10, 5.54, 1.57, 97.7
2016, 한화, 32, 0, 0, 1, 0, 1, 0, 0, 2.2, 10, 6, 22, 9, 0, 0, 4, 0, 0, 1, 0, 0, 20.25, 7.54, 4.88, 25.9
2017, 한화, 33, 0, 0, 16, 1, 8, 0, 0, 87.2, 62, 56, 410, 123, 2, 11, 28, 2, 5, 54, 1, 5, 5.75, 5.20, 1.72, 87.5
2018, 한화, 34, 0, 0, 1, 8, 2, 0, 8, 66.0, 44, 42, 291, 83, 0, 12, 15, 1, 4, 48, 1, 4, 5.73, 5.56, 1.49, 92.5
2019, 한화, 35, 0, 0, 0, 4, 7, 0, 13, 62.0, 27, 27, 273, 82, 1, 5, 13, 0, 3, 48, 1, 2, 3.92, 3.68, 1.53, 105.7
2020, 한화, 36, 0, 0, 0, 1, 1, 0, 1, 45.2, 32, 30, 201, 51, 1, 9, 18, 1, 2, 34, 0, 0, 5.91, 5.88, 1.51, 80.0
2021, KT, 37, 0, 0, 0, 0, 1, 0, 4, 35.1, 17, 16, 145, 24, 0, 2, 11, 0, 1, 32, 0, 0, 4.08, 3.28, 0.99, 110.2
2022, KT, 38, 0, 0, 0, 0, 0, 0, 0, 3.1, 1, 1, 13, 3, 0, 0, 0, 0, 0, 1, 0, 0, 2.70, 2.62, 0.90, 134.9
