year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1992, 삼성, 24, 2, 1, 3, 13, 0, 2, 0, 126.2, 58, 50, 556, 114, , 7, 74, 2, 4, 64, 0, 7, 3.55, 4.29, 1.48, 123.5
1993, 삼성, 25, 0, 0, 3, 2, 7, 7, 0, 74.1, 31, 28, 318, 72, , 5, 36, 2, 2, 43, 1, 3, 3.39, 3.64, 1.45, 98.2
1994, 삼성, 26, 0, 0, 3, 0, 4, 3, 0, 33.0, 27, 25, 153, 46, , 4, 15, 0, 2, 13, 0, 1, 6.82, 5.14, 1.85, 56.4
1995, 삼성, 27, 3, 1, 10, 6, 9, 5, 0, 133.1, 56, 43, 563, 117, , 4, 50, 1, 4, 99, 0, 6, 2.90, 2.91, 1.25, 130.3
1996, 쌍방울, 28, 4, 2, 18, 9, 7, 4, 0, 135.1, 55, 46, 568, 114, , 7, 53, 1, 9, 86, 1, 0, 3.06, 3.54, 1.23, 120.4
1997, 쌍방울, 29, 0, 0, 8, 7, 7, 2, 0, 55.1, 36, 32, 255, 68, , 4, 24, 1, 5, 43, 0, 2, 5.20, 3.78, 1.66, 77.1
1998, 쌍방울, 30, 0, 0, 22, 2, 6, 0, 0, 88.2, 60, 56, 402, 108, , 12, 43, 1, 3, 44, 1, 11, 5.68, 5.19, 1.70, 69.9
1999, 쌍방울,해태, 31, 0, 0, 3, 6, 9, 8, 0, 116.1, 51, 44, 511, 118, , 12, 58, 2, 7, 80, 0, 5, 3.40, 4.86, 1.51, 149.1
, 해태, 31, 0, 0, 3, 6, 8, 8, 0, 112.2, 48, 41, 496, 112, , 12, 58, 2, 7, 79, 0, 5, 3.28, 4.93, 1.51, 155.0
, 쌍방울, 31, 0, 0, 0, 0, 1, 0, 0, 3.2, 3, 3, 15, 6, , 0, 0, 0, 0, 1, 0, 0, 7.36, 2.73, 1.64, 67.0
2000, 해태, 32, 0, 0, 0, 4, 7, 8, 8, 113.1, 46, 36, 497, 100, , 9, 50, 4, 5, 110, 0, 3, 2.86, 3.60, 1.32, 163.4
2001, 해태/KIA, 33, 0, 0, 7, 5, 5, 14, 0, 106.1, 59, 56, 455, 104, , 10, 39, 2, 1, 80, 0, 7, 4.74, 3.90, 1.35, 100.3
2002, KIA, 34, 0, 0, 0, 1, 3, 0, 3, 54.1, 22, 20, 238, 62, , 10, 24, 1, 2, 33, 0, 3, 3.31, 5.56, 1.58, 128.5
2003, KIA, 35, 0, 0, 0, 0, 0, 0, 0, 4.2, 3, 3, 24, 7, , 0, 3, 0, 1, 2, 0, 0, 5.79, 4.47, 2.14, 74.0
2004, 한화, 36, 0, 0, 0, 5, 2, 0, 2, 60.1, 40, 40, 267, 70, , 7, 22, 4, 5, 31, 0, 1, 5.97, 4.57, 1.53, 73.9
2005, 한화, 37, 0, 0, 0, 3, 2, 3, 2, 43.0, 28, 27, 196, 54, , 8, 19, 0, 3, 24, 0, 2, 5.65, 5.85, 1.70, 77.5
2006, 한화, 38, 0, 0, 0, 0, 0, 0, 0, 1.2, 2, 2, 10, 4, , 1, 1, 0, 0, 2, 0, 0, 10.80, 9.90, 3.00, 34.7
