year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, 현대, 19, 1, 0, 25, 10, 9, 0, 0, 149.0, 71, 66, 625, 135, , 16, 53, 0, 5, 113, 1, 5, 3.99, 4.00, 1.26, 108.6
2005, 현대, 20, 0, 0, 18, 1, 11, 0, 0, 70.1, 57, 47, 327, 79, , 5, 44, 0, 2, 37, 0, 1, 6.01, 4.85, 1.75, 71.3
2006, 현대, 21, 0, 0, 4, 1, 1, 0, 0, 13.2, 7, 7, 58, 9, , 0, 10, 0, 1, 5, 0, 1, 4.61, 4.39, 1.39, 78.4
2009, 히어로즈, 24, 0, 0, 0, 1, 2, 0, 5, 39.2, 18, 18, 167, 39, , 3, 17, 0, 1, 25, 0, 4, 4.08, 4.27, 1.41, 118.2
2010, 넥센, 25, 0, 0, 0, 1, 1, 0, 9, 45.1, 15, 12, 187, 39, , 4, 15, 0, 2, 28, 0, 2, 2.38, 4.32, 1.19, 190.9
2011, 넥센, 26, 0, 0, 0, 2, 2, 1, 20, 43.1, 19, 17, 178, 38, , 4, 18, 0, 1, 29, 0, 2, 3.53, 4.37, 1.29, 116.4
2012, 넥센, 27, 0, 0, 0, 1, 3, 1, 4, 26.0, 15, 15, 113, 26, , 6, 13, 0, 1, 18, 0, 1, 5.19, 6.33, 1.50, 73.8
2013, 넥센, 28, 0, 0, 7, 4, 0, 0, 1, 41.1, 13, 11, 169, 28, , 1, 18, 0, 1, 31, 1, 3, 2.40, 3.54, 1.11, 181.9
2014, 넥센, 29, 0, 0, 14, 5, 6, 0, 0, 74.0, 59, 53, 341, 99, 2, 14, 33, 0, 3, 31, 0, 2, 6.45, 6.94, 1.78, 81.8
2015, 넥센, 30, 0, 0, 4, 0, 2, 0, 0, 18.1, 19, 19, 96, 31, 0, 4, 12, 0, 1, 11, 0, 3, 9.33, 7.38, 2.35, 53.4
2016, 넥센, 31, 0, 0, 0, 3, 2, 2, 7, 51.0, 25, 25, 220, 50, 1, 3, 17, 0, 4, 40, 0, 0, 4.41, 4.22, 1.31, 119.0
2017, 넥센, 32, 0, 0, 3, 2, 7, 1, 18, 73.2, 44, 39, 329, 96, 1, 10, 15, 1, 2, 56, 0, 6, 4.76, 4.63, 1.51, 104.4
2018, 넥센, 33, 0, 0, 0, 3, 6, 1, 15, 52.1, 37, 36, 226, 61, 0, 8, 13, 3, 1, 36, 0, 1, 6.19, 5.08, 1.41, 83.2
2019, 키움, 34, 0, 0, 0, 3, 3, 18, 3, 54.1, 17, 14, 223, 54, 0, 1, 7, 0, 3, 41, 0, 1, 2.32, 2.68, 1.12, 178.1
2020, 키움, 35, 0, 0, 0, 3, 1, 0, 2, 18.1, 12, 11, 78, 22, 0, 6, 0, 0, 0, 13, 1, 0, 5.40, 6.39, 1.20, 87.4
2021, 키움, 36, 0, 0, 0, 1, 1, 1, 0, 18.1, 20, 20, 89, 33, 0, 3, 4, 1, 0, 9, 0, 1, 9.82, 4.97, 2.02, 45.2
