year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, 두산, 24, 0, 0, 0, 0, 0, 0, 0, 30.1, 15, 15, 130, 33, , 4, 13, 0, 1, 22, 0, 0, 4.45, 4.84, 1.52, 106.7
2010, 두산, 25, 0, 0, 0, 1, 0, 0, 0, 15.1, 12, 11, 69, 18, , 2, 6, 0, 0, 11, 0, 0, 6.46, 4.72, 1.57, 70.4
2013, 두산, 28, 0, 0, 0, 5, 3, 5, 7, 73.1, 23, 22, 302, 65, , 6, 19, 0, 8, 65, 0, 1, 2.70, 3.74, 1.15, 157.5
2014, 두산, 29, 0, 0, 2, 4, 3, 0, 4, 66.2, 28, 27, 300, 81, 2, 6, 18, 1, 5, 56, 0, 0, 3.65, 4.34, 1.49, 135.7
2015, 두산, 30, 0, 0, 0, 1, 3, 0, 13, 56.0, 33, 33, 239, 59, 0, 6, 16, 3, 4, 45, 1, 0, 5.30, 4.31, 1.34, 88.4
2016, 두산, 31, 0, 0, 0, 1, 0, 0, 4, 20.2, 14, 14, 91, 29, 0, 3, 3, 0, 2, 17, 0, 0, 6.10, 4.76, 1.55, 83.8
2018, 롯데, 33, 0, 0, 0, 3, 2, 0, 25, 64.2, 32, 27, 268, 66, 0, 11, 12, 0, 3, 63, 1, 2, 3.76, 4.79, 1.21, 138.8
2019, 롯데, 34, 0, 0, 0, 1, 0, 0, 0, 12.2, 9, 7, 56, 15, 0, 6, 2, 1, 1, 8, 0, 0, 4.97, 8.77, 1.34, 84.4
2020, 롯데, 35, 0, 0, 0, 3, 1, 0, 7, 36.0, 15, 15, 152, 37, 1, 5, 8, 1, 2, 17, 0, 1, 3.75, 5.17, 1.25, 129.9
2021, 롯데, 36, 0, 0, 0, 0, 1, 0, 1, 16.1, 13, 12, 87, 28, 0, 2, 8, 2, 1, 8, 0, 0, 6.61, 5.23, 2.20, 68.7
