year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, LG, 19, 0, 0, 0, 2, 1, 0, 1, 18.1, 8, 8, 75, 16, , 4, 7, 1, 0, 4, 0, 0, 3.93, 6.33, 1.26, 106.9
2005, LG, 20, 0, 0, 0, 1, 0, 0, 0, 7.2, 2, 1, 30, 7, , 0, 2, 0, 1, 4, 0, 1, 1.17, 3.15, 1.17, 354.7
2006, LG, 21, 0, 0, 0, 3, 4, 17, 7, 75.2, 16, 13, 300, 62, , 2, 20, 5, 9, 30, 0, 0, 1.55, 3.20, 1.08, 229.2
2007, LG, 22, 0, 0, 0, 5, 6, 30, 0, 78.0, 24, 23, 319, 58, , 3, 31, 8, 7, 26, 0, 2, 2.65, 3.82, 1.14, 146.4
2008, LG, 23, 0, 0, 0, 3, 7, 10, 5, 51.1, 33, 28, 225, 57, , 5, 15, 2, 4, 16, 0, 0, 4.91, 4.79, 1.40, 83.4
2009, LG, 24, 0, 0, 0, 0, 3, 7, 0, 36.1, 28, 23, 173, 46, , 3, 16, 0, 6, 22, 0, 0, 5.70, 4.87, 1.71, 83.6
2012, LG, 27, 0, 0, 3, 4, 4, 1, 9, 92.2, 41, 34, 396, 96, , 2, 23, 8, 9, 57, 1, 2, 3.30, 2.93, 1.28, 115.7
2013, LG, 28, 1, 1, 25, 10, 8, 0, 2, 147.1, 67, 64, 635, 162, , 5, 31, 0, 12, 92, 0, 2, 3.91, 3.42, 1.31, 108.6
2014, LG, 29, 0, 0, 28, 11, 5, 0, 0, 153.2, 78, 69, 653, 170, 5, 11, 34, 1, 12, 103, 0, 2, 4.04, 4.32, 1.33, 122.5
2015, LG, 30, 1, 0, 25, 11, 9, 0, 0, 152.2, 64, 58, 621, 163, 5, 13, 17, 0, 12, 119, 0, 2, 3.42, 3.73, 1.18, 137.3
2016, LG, 31, 1, 1, 24, 6, 11, 0, 1, 132.0, 89, 72, 599, 166, 0, 16, 36, 1, 18, 81, 0, 1, 4.91, 5.35, 1.53, 103.6
2017, 삼성, 32, 0, 0, 25, 7, 10, 0, 0, 133.0, 95, 77, 591, 161, 4, 19, 23, 1, 16, 100, 0, 2, 5.21, 4.95, 1.38, 97.4
2018, 삼성, 33, 0, 0, 0, 4, 1, 0, 10, 58.2, 28, 28, 246, 70, 0, 6, 12, 1, 5, 48, 0, 0, 4.30, 4.34, 1.40, 123.5
2019, 삼성, 34, 0, 0, 0, 2, 7, 15, 7, 59.0, 20, 18, 247, 58, 0, 7, 10, 1, 6, 40, 0, 0, 2.75, 4.35, 1.15, 157.7
2020, 삼성, 35, 0, 0, 0, 3, 3, 7, 11, 48.0, 34, 33, 210, 61, 1, 3, 9, 1, 1, 30, 0, 0, 6.19, 3.68, 1.46, 79.3
2021, 삼성, 36, 0, 0, 0, 3, 3, 2, 24, 49.0, 22, 18, 213, 58, 1, 5, 9, 1, 2, 35, 0, 1, 3.31, 3.84, 1.37, 136.5
2022, 삼성, 37, 0, 0, 0, 0, 1, 0, 6, 10.0, 5, 3, 49, 14, 0, 0, 1, 1, 1, 6, 1, 0, 2.70, 2.32, 1.50, 138.3
