year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, 태평양, 23, 4, 1, 16, 13, 10, 4, 0, 157.2, 70, 63, 651, 142, , 9, 48, 5, 3, 113, 2, 6, 3.60, 2.99, 1.21, 103.2
1996, 현대, 24, 1, 0, 28, 12, 7, 0, 0, 181.2, 60, 55, 748, 159, , 13, 51, 3, 5, 138, 1, 4, 2.72, 3.07, 1.16, 134.7
1997, 현대, 25, 0, 0, 18, 5, 8, 0, 0, 111.0, 44, 40, 462, 105, , 11, 42, 3, 3, 74, 0, 1, 3.24, 3.96, 1.32, 123.0
1998, 현대, 26, 0, 0, 26, 13, 8, 0, 0, 164.1, 71, 59, 690, 143, , 20, 68, 0, 1, 122, 1, 1, 3.23, 4.25, 1.28, 123.1
1999, 현대, 27, 0, 0, 18, 6, 8, 0, 0, 116.1, 62, 53, 525, 126, , 16, 62, 0, 3, 100, 0, 2, 4.10, 5.02, 1.62, 120.4
2000, 현대, 28, 0, 0, 0, 3, 2, 39, 0, 73.1, 18, 17, 293, 62, , 3, 24, 2, 2, 71, 0, 3, 2.09, 2.74, 1.17, 216.6
2001, 현대, 29, 0, 0, 0, 4, 2, 22, 0, 49.1, 13, 10, 202, 35, , 2, 18, 2, 1, 44, 0, 3, 1.82, 2.89, 1.07, 257.2
2002, 현대, 30, 0, 0, 23, 5, 10, 0, 0, 104.0, 58, 53, 463, 118, , 18, 46, 0, 4, 74, 1, 4, 4.59, 5.27, 1.58, 93.1
2003, 현대, 31, 0, 0, 2, 0, 1, 0, 0, 4.1, 4, 3, 27, 9, , 0, 5, 0, 0, 1, 0, 0, 6.23, 5.76, 3.23, 69.3
2004, 현대, 32, 0, 0, 4, 1, 1, 0, 0, 28.2, 18, 15, 126, 28, , 3, 15, 0, 1, 14, 0, 0, 4.71, 5.01, 1.50, 92.0
2005, SK, 33, 0, 0, 0, 3, 2, 6, 12, 95.1, 23, 20, 385, 69, , 4, 41, 2, 3, 80, 0, 0, 1.89, 3.20, 1.15, 218.7
2006, SK, 34, 0, 0, 0, 3, 5, 0, 3, 36.2, 23, 20, 159, 39, , 1, 15, 2, 1, 25, 1, 0, 4.91, 2.84, 1.47, 71.6
