year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, 한화, 21, 0, 0, 2, 2, 1, 1, 0, 19.0, 6, 6, 76, 14, , 2, 9, 0, 0, 13, 0, 4, 2.84, 4.25, 1.21, 141.5
2008, 한화, 22, 0, 0, 21, 5, 4, 0, 1, 123.2, 71, 64, 559, 128, , 8, 77, 2, 2, 77, 0, 11, 4.66, 4.61, 1.66, 91.1
2009, 한화, 23, 0, 0, 23, 5, 10, 0, 0, 107.0, 83, 79, 510, 130, , 23, 69, 0, 6, 57, 0, 4, 6.64, 7.02, 1.86, 73.7
2010, 한화, 24, 1, 1, 27, 5, 14, 0, 0, 142.1, 89, 87, 644, 164, , 20, 69, 1, 2, 82, 0, 10, 5.50, 5.44, 1.64, 84.0
2011, 한화,LG, 25, 0, 0, 4, 1, 5, 0, 3, 63.0, 46, 44, 279, 75, , 10, 20, 0, 2, 44, 0, 4, 6.29, 4.91, 1.51, 65.2
, LG, 25, 0, 0, 4, 1, 4, 0, 0, 27.2, 20, 18, 116, 30, , 4, 5, 0, 2, 23, 0, 2, 5.86, 4.17, 1.27, 70.0
, 한화, 25, 0, 0, 0, 0, 1, 0, 3, 35.1, 26, 26, 163, 45, , 6, 15, 0, 0, 21, 0, 2, 6.62, 5.48, 1.70, 63.1
2012, LG, 26, 0, 0, 0, 4, 2, 3, 21, 74.0, 20, 18, 301, 70, , 4, 13, 1, 2, 43, 0, 4, 2.19, 3.21, 1.12, 174.6
2013, LG, 27, 0, 0, 0, 2, 1, 1, 8, 37.2, 23, 20, 166, 48, , 2, 11, 0, 2, 19, 0, 3, 4.78, 4.07, 1.57, 88.8
2014, LG, 28, 0, 0, 0, 4, 5, 0, 16, 68.0, 35, 33, 289, 67, 1, 6, 23, 1, 2, 49, 0, 3, 4.37, 4.62, 1.32, 113.4
2015, LG, 29, 0, 0, 0, 1, 1, 0, 1, 37.0, 26, 23, 163, 44, 1, 6, 12, 1, 2, 22, 0, 2, 5.59, 5.59, 1.51, 83.9
2016, LG, 30, 0, 0, 0, 2, 1, 0, 1, 24.0, 18, 17, 115, 31, 1, 3, 13, 1, 2, 15, 0, 2, 6.38, 5.92, 1.83, 79.8
2017, LG, 31, 0, 0, 0, 0, 0, 0, 0, 7.1, 6, 5, 36, 8, 0, 0, 4, 1, 2, 1, 0, 1, 6.14, 5.51, 1.64, 78.9
2018, NC, 32, 0, 0, 0, 1, 4, 0, 5, 47.1, 37, 34, 225, 63, 1, 5, 17, 1, 5, 30, 0, 5, 6.46, 5.27, 1.69, 80.3
2019, NC, 33, 0, 0, 1, 0, 3, 1, 0, 20.2, 15, 12, 93, 21, 1, 2, 9, 0, 1, 14, 0, 1, 5.23, 4.76, 1.45, 81.1
2020, KT, 34, 0, 0, 0, 2, 1, 2, 9, 64.0, 32, 27, 271, 52, 0, 8, 28, 1, 1, 37, 0, 5, 3.80, 5.34, 1.25, 126.5
2021, KT, 35, 0, 0, 0, 1, 1, 0, 1, 13.0, 10, 9, 60, 15, 0, 0, 6, 0, 0, 13, 0, 3, 6.23, 2.72, 1.62, 72.1
