year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, 두산, 23, 0, 0, 0, 0, 0, 0, 0, 13.1, 7, 6, 61, 15, , 1, 7, 0, 0, 10, 0, 0, 4.05, 4.24, 1.65, 117.3
2010, 두산, 24, 0, 0, 0, 0, 0, 0, 0, 3.1, 4, 4, 17, 5, , 0, 1, 0, 1, 1, 0, 0, 10.80, 4.49, 1.80, 42.1
2013, 두산, 27, 0, 0, 18, 10, 7, 1, 3, 145.1, 60, 57, 612, 141, , 7, 52, 0, 7, 96, 2, 2, 3.53, 3.87, 1.33, 120.5
2014, 두산, 28, 1, 0, 30, 12, 9, 0, 0, 177.1, 98, 87, 779, 202, 6, 21, 51, 0, 8, 112, 0, 5, 4.42, 5.13, 1.43, 112.0
2015, 두산, 29, 1, 1, 30, 18, 5, 0, 0, 189.2, 84, 83, 786, 193, 5, 23, 44, 0, 4, 126, 1, 4, 3.94, 4.62, 1.25, 119.0
2016, 두산, 30, 0, 0, 29, 15, 6, 0, 0, 185.2, 95, 91, 809, 212, 3, 22, 58, 0, 6, 102, 0, 5, 4.41, 5.27, 1.45, 115.9
2017, 두산, 31, 2, 1, 29, 11, 6, 0, 1, 188.2, 104, 95, 822, 228, 3, 20, 41, 1, 10, 106, 1, 5, 4.53, 4.78, 1.43, 106.2
2018, 두산, 32, 0, 0, 28, 10, 10, 0, 0, 141.0, 108, 105, 650, 197, 3, 23, 42, 0, 4, 81, 0, 1, 6.70, 5.78, 1.70, 75.4
2019, 두산, 33, 2, 0, 27, 11, 8, 0, 0, 166.1, 67, 60, 692, 171, 2, 8, 42, 3, 3, 64, 0, 2, 3.25, 4.02, 1.28, 125.9
2020, 두산, 34, 0, 0, 27, 10, 11, 0, 0, 136.1, 91, 76, 622, 190, 5, 14, 39, 4, 3, 56, 0, 1, 5.02, 4.91, 1.68, 92.3
2021, 두산, 35, 0, 0, 15, 4, 7, 0, 0, 63.0, 57, 54, 314, 107, 3, 10, 24, 0, 3, 23, 0, 0, 7.71, 5.95, 2.08, 55.9
