year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2003, 한화, 19, 0, 0, 1, 0, 1, 1, 0, 14.0, 10, 10, 64, 20, , 2, 3, 0, 0, 5, 0, 1, 6.43, 4.55, 1.64, 67.5
2004, 한화, 20, 1, 0, 9, 3, 4, 3, 0, 84.2, 50, 43, 369, 85, , 8, 36, 0, 8, 63, 0, 5, 4.57, 4.25, 1.43, 96.4
2005, 한화, 21, 0, 0, 0, 4, 4, 5, 9, 67.1, 29, 25, 293, 69, , 6, 28, 2, 8, 55, 0, 6, 3.34, 4.06, 1.44, 131.0
2007, 한화, 23, 0, 0, 1, 0, 1, 0, 1, 13.2, 6, 6, 55, 12, , 0, 7, 0, 0, 10, 0, 1, 3.95, 2.90, 1.39, 101.8
2008, 한화, 24, 0, 0, 1, 5, 2, 1, 12, 69.1, 33, 29, 299, 64, , 3, 41, 2, 6, 47, 0, 0, 3.76, 4.30, 1.51, 112.7
2009, 한화, 25, 0, 0, 3, 1, 4, 0, 0, 53.1, 53, 43, 265, 70, , 9, 37, 2, 4, 46, 0, 8, 7.26, 5.85, 2.01, 67.4
2010, 한화, 26, 0, 0, 0, 1, 2, 0, 4, 58.2, 28, 22, 269, 57, , 3, 36, 3, 5, 45, 0, 3, 3.38, 4.36, 1.59, 136.9
2011, 한화, 27, 0, 0, 0, 1, 1, 0, 0, 19.0, 18, 18, 108, 30, , 2, 21, 1, 3, 20, 0, 6, 8.53, 6.09, 2.68, 49.0
2014, 한화, 30, 0, 0, 0, 7, 2, 9, 3, 72.0, 39, 37, 311, 69, 1, 11, 31, 2, 1, 73, 0, 8, 4.63, 5.06, 1.39, 117.3
2015, 한화, 31, 0, 0, 0, 3, 2, 10, 3, 50.2, 15, 15, 205, 39, 0, 3, 21, 3, 0, 48, 0, 2, 2.66, 3.56, 1.18, 187.0
2016, 한화, 32, 0, 0, 16, 7, 7, 1, 3, 100.1, 78, 76, 472, 125, 2, 19, 54, 3, 8, 74, 0, 4, 6.82, 6.54, 1.78, 77.0
2017, 한화, 33, 0, 0, 18, 8, 7, 0, 2, 119.0, 71, 69, 526, 138, 2, 19, 44, 0, 4, 93, 0, 5, 5.22, 5.46, 1.53, 96.4
2018, 한화, 34, 0, 0, 17, 2, 6, 0, 0, 84.0, 63, 55, 381, 99, 2, 14, 30, 0, 6, 81, 0, 3, 5.89, 5.36, 1.54, 89.9
2019, 한화, 35, 0, 0, 0, 0, 0, 0, 0, 4.1, 5, 5, 20, 6, 1, 0, 1, 0, 0, 1, 0, 0, 10.38, 3.63, 1.62, 39.9
2020, 한화, 36, 0, 0, 0, 0, 0, 0, 0, 3.2, 5, 3, 19, 7, 0, 1, 1, 0, 0, 4, 0, 0, 7.36, 5.74, 2.18, 64.2
