year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, SK, 19, 0, 0, 11, 3, 3, 0, 0, 58.0, 47, 47, 265, 65, , 15, 26, 2, 5, 42, 0, 3, 7.29, 6.42, 1.57, 57.7
2003, SK, 20, 0, 0, 0, 0, 1, 1, 0, 39.1, 9, 9, 160, 33, , 3, 14, 0, 1, 24, 0, 3, 2.06, 3.68, 1.20, 202.5
2004, SK, 21, 0, 0, 0, 0, 1, 0, 1, 25.2, 21, 20, 121, 31, , 2, 16, 1, 1, 24, 0, 2, 7.01, 3.96, 1.83, 60.0
2005, SK, 22, 0, 0, 2, 5, 2, 1, 5, 61.0, 27, 25, 257, 51, , 7, 25, 0, 5, 61, 0, 3, 3.69, 3.98, 1.25, 112.0
2006, SK, 23, 0, 0, 24, 5, 9, 1, 2, 140.2, 66, 61, 594, 126, , 13, 54, 1, 7, 91, 0, 6, 3.90, 3.89, 1.28, 90.1
2007, SK, 24, 0, 0, 0, 8, 3, 0, 18, 75.0, 25, 24, 311, 62, , 4, 34, 3, 2, 46, 0, 5, 2.88, 3.62, 1.28, 132.3
2008, SK, 25, 0, 0, 0, 1, 0, 2, 14, 49.2, 17, 16, 205, 37, , 1, 23, 0, 2, 49, 0, 4, 2.90, 2.95, 1.21, 139.9
2009, SK, 26, 0, 0, 0, 6, 0, 3, 4, 47.0, 24, 23, 188, 37, , 4, 17, 1, 1, 39, 0, 2, 4.40, 3.72, 1.15, 107.4
2012, SK, 29, 0, 0, 0, 0, 0, 0, 0, 3.1, 4, 4, 18, 6, , 1, 3, 0, 0, 1, 0, 0, 10.80, 9.10, 2.70, 35.3
2013, SK, 30, 0, 0, 0, 3, 1, 0, 8, 43.1, 17, 16, 178, 35, , 5, 21, 0, 2, 47, 0, 4, 3.32, 4.27, 1.29, 130.6
2014, SK, 31, 0, 0, 0, 3, 3, 7, 9, 57.2, 27, 25, 247, 49, 1, 7, 28, 2, 1, 63, 0, 9, 3.90, 4.65, 1.34, 130.8
2015, SK, 32, 0, 0, 0, 0, 4, 13, 17, 62.2, 25, 22, 284, 58, 0, 7, 36, 4, 2, 62, 0, 3, 3.16, 4.72, 1.50, 152.9
2016, 롯데, 33, 0, 0, 0, 7, 7, 2, 16, 60.0, 42, 40, 275, 75, 3, 8, 22, 2, 2, 50, 1, 3, 6.00, 4.96, 1.62, 87.1
2017, 롯데, 34, 0, 0, 0, 1, 4, 0, 13, 39.1, 29, 28, 182, 46, 2, 3, 16, 2, 5, 43, 0, 3, 6.41, 3.99, 1.58, 78.6
2018, 롯데, 35, 0, 0, 0, 1, 2, 0, 4, 33.0, 18, 17, 145, 33, 2, 4, 15, 0, 0, 29, 0, 2, 4.64, 5.02, 1.46, 112.5
2019, 롯데, 36, 0, 0, 0, 1, 1, 0, 0, 5.0, 14, 6, 39, 17, 0, 2, 4, 1, 2, 5, 0, 2, 10.80, 9.60, 4.20, 38.9
