year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1989, 해태, 24, 0, 0, 8, 5, 4, 1, 0, 75.2, 40, 38, 331, 81, , 6, 32, 3, 3, 22, 0, 2, 4.52, 4.32, 1.49, 81.1
1990, 해태, 25, 0, 0, 8, 2, 5, 0, 0, 56.1, 41, 37, 255, 75, , 9, 13, 2, 6, 27, 0, 3, 5.91, 4.59, 1.56, 64.5
1991, 해태, 26, 1, 1, 7, 1, 3, 2, 0, 38.0, 27, 26, 164, 48, , 3, 6, 2, 1, 10, 0, 2, 6.16, 3.58, 1.42, 64.5
1992, OB, 27, 1, 1, 10, 7, 6, 6, 0, 101.2, 56, 51, 433, 106, , 8, 35, 2, 4, 40, 0, 1, 4.51, 4.11, 1.39, 92.0
1993, OB, 28, 1, 1, 8, 7, 6, 2, 0, 124.2, 47, 41, 500, 126, , 5, 21, 2, 4, 51, 0, 0, 2.96, 2.72, 1.18, 105.8
1994, OB, 29, 1, 1, 9, 8, 4, 1, 0, 82.2, 25, 21, 332, 77, , 5, 19, 3, 1, 32, 0, 3, 2.29, 3.44, 1.16, 159.2
1995, OB, 30, 0, 0, 2, 0, 2, 0, 0, 12.0, 16, 16, 66, 26, , 2, 3, 0, 2, 7, 0, 1, 12.00, 5.06, 2.42, 29.7
1996, OB, 31, 0, 0, 10, 1, 8, 0, 0, 53.1, 33, 30, 227, 62, , 6, 12, 0, 3, 19, 0, 1, 5.06, 4.38, 1.39, 70.1
1997, OB, 32, 1, 0, 18, 8, 7, 2, 0, 119.0, 65, 60, 506, 124, , 8, 27, 1, 10, 86, 2, 5, 4.54, 3.21, 1.27, 86.0
1998, OB, 33, 2, 0, 11, 5, 6, 0, 0, 99.2, 52, 48, 412, 101, , 14, 23, 2, 3, 43, 0, 2, 4.33, 4.58, 1.24, 88.9
1999, 두산, 34, 0, 0, 19, 9, 8, 0, 0, 112.2, 70, 68, 488, 135, , 22, 28, 0, 5, 66, 1, 0, 5.43, 5.52, 1.45, 88.8
2000, 두산, 35, 2, 1, 24, 11, 3, 1, 0, 150.2, 72, 62, 629, 169, , 18, 30, 1, 6, 76, 0, 1, 3.70, 4.40, 1.32, 120.6
2001, 두산, 36, 0, 0, 8, 2, 3, 0, 0, 58.1, 35, 35, 264, 70, , 9, 25, 0, 7, 22, 0, 2, 5.40, 6.01, 1.63, 84.7
2002, LG, 37, 0, 0, 0, 0, 0, 0, 0, 5.1, 7, 7, 27, 9, , 3, 1, 0, 1, 3, 0, 0, 11.81, 10.31, 1.88, 35.0
