year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2001, LG, 18, 0, 0, 19, 4, 6, 0, 0, 105.2, 71, 63, 491, 130, , 15, 56, 1, 2, 51, 1, 4, 5.37, 5.61, 1.76, 85.5
2002, LG, 19, 0, 0, 2, 8, 3, 7, 6, 124.2, 39, 37, 516, 110, , 13, 43, 4, 5, 106, 0, 3, 2.67, 3.72, 1.23, 154.8
2003, LG, 20, 0, 0, 14, 4, 10, 0, 0, 95.2, 47, 43, 429, 105, , 14, 40, 1, 5, 57, 0, 4, 4.05, 4.85, 1.52, 102.7
2004, LG, 21, 0, 0, 0, 1, 3, 12, 5, 53.1, 18, 17, 228, 46, , 1, 26, 3, 1, 48, 0, 1, 2.87, 2.74, 1.35, 146.3
2009, LG, 26, 0, 0, 0, 1, 0, 0, 1, 41.1, 24, 24, 187, 39, , 7, 28, 0, 0, 30, 0, 4, 5.23, 5.97, 1.62, 91.2
2010, LG, 27, 0, 0, 0, 7, 3, 4, 15, 74.0, 38, 29, 311, 65, , 5, 34, 1, 3, 58, 0, 2, 3.53, 4.06, 1.34, 128.9
2011, LG, 28, 0, 0, 0, 1, 1, 2, 7, 33.0, 29, 23, 159, 39, , 3, 22, 1, 3, 30, 0, 3, 6.27, 4.74, 1.85, 65.4
2012, LG, 29, 0, 0, 0, 2, 2, 0, 6, 56.2, 20, 19, 231, 43, , 1, 18, 0, 0, 56, 0, 0, 3.02, 2.31, 1.08, 126.6
2013, LG, 30, 0, 0, 0, 6, 3, 1, 25, 72.0, 29, 24, 302, 70, , 4, 25, 0, 3, 53, 0, 1, 3.00, 3.77, 1.32, 141.5
2014, LG, 31, 0, 0, 0, 5, 1, 2, 23, 59.1, 18, 18, 250, 54, 1, 2, 21, 1, 8, 38, 0, 3, 2.73, 4.43, 1.26, 181.3
2015, LG, 32, 0, 0, 0, 5, 5, 4, 11, 59.1, 33, 29, 258, 65, 0, 4, 20, 5, 2, 55, 0, 7, 4.40, 3.50, 1.43, 106.7
2016, LG, 33, 0, 0, 0, 4, 3, 2, 5, 43.1, 26, 26, 195, 54, 0, 5, 14, 3, 3, 38, 0, 3, 5.40, 4.51, 1.57, 94.2
2017, LG, 34, 0, 0, 0, 3, 6, 7, 5, 50.2, 30, 27, 211, 52, 0, 4, 10, 7, 3, 39, 0, 7, 4.80, 3.58, 1.22, 100.9
2018, LG, 35, 0, 0, 0, 2, 1, 0, 4, 36.1, 35, 32, 167, 49, 0, 6, 7, 0, 3, 23, 0, 0, 7.93, 5.54, 1.54, 63.6
2019, LG, 36, 0, 0, 0, 0, 0, 0, 0, 5.0, 0, 0, 20, 6, 0, 0, 0, 0, 0, 5, 0, 0, 0.00, 1.40, 1.20, 
