year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, LG, 20, 0, 0, 2, 0, 1, 0, 0, 22.1, 12, 12, 98, 22, , 3, 8, 0, 2, 9, 0, 1, 4.84, 4.97, 1.34, 79.7
1993, LG, 22, 0, 0, 0, 0, 0, 0, 0, 4.2, 1, 1, 20, 6, , 0, 2, 0, 0, 4, 0, 0, 1.93, 2.04, 1.71, 163.8
1995, LG, 24, 0, 0, 1, 0, 1, 1, 0, 47.2, 24, 23, 213, 53, , 1, 20, 1, 5, 33, 1, 1, 4.34, 3.21, 1.53, 82.0
1996, LG, 25, 0, 0, 1, 0, 1, 1, 0, 21.0, 15, 10, 91, 21, , 2, 4, 0, 2, 9, 0, 1, 4.29, 4.03, 1.19, 83.4
1998, 해태, 27, 0, 0, 5, 2, 4, 1, 0, 94.1, 52, 48, 387, 93, , 18, 19, 3, 2, 64, 0, 3, 4.58, 4.59, 1.19, 88.3
1999, 해태, 28, 0, 0, 0, 4, 4, 2, 0, 62.2, 46, 39, 296, 86, , 10, 25, 4, 5, 54, 0, 4, 5.60, 4.87, 1.77, 90.6
2000, 해태, 29, 0, 0, 0, 4, 2, 4, 0, 52.2, 25, 23, 230, 51, , 5, 18, 1, 6, 37, 0, 4, 3.93, 4.30, 1.31, 118.8
2001, 해태/KIA, 30, 0, 0, 0, 4, 2, 3, 3, 68.1, 21, 20, 277, 46, , 8, 27, 1, 5, 58, 0, 3, 2.63, 4.30, 1.07, 180.5
2002, KIA, 31, 0, 0, 0, 1, 0, 0, 0, 7.0, 4, 3, 28, 5, , 2, 3, 0, 0, 5, 0, 0, 3.86, 6.57, 1.14, 110.4
2003, LG, 32, 0, 0, 13, 3, 6, 0, 0, 66.0, 40, 38, 297, 76, , 9, 31, 1, 5, 29, 1, 6, 5.18, 5.25, 1.62, 80.2
