year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, 현대, 19, 0, 0, 1, 0, 2, 0, 0, 25.2, 13, 7, 105, 22, , 3, 10, 0, 0, 16, 0, 3, 2.45, 4.46, 1.25, 174.8
2006, 현대, 20, 0, 0, 0, 0, 2, 1, 0, 37.1, 15, 15, 159, 35, , 1, 17, 0, 1, 25, 0, 4, 3.62, 3.16, 1.39, 99.9
2007, 현대, 21, 0, 0, 0, 0, 1, 0, 0, 10.0, 13, 13, 52, 15, , 1, 6, 1, 1, 9, 0, 0, 11.70, 4.13, 2.10, 34.1
2008, 히어로즈, 22, 0, 0, 0, 0, 0, 0, 0, 7.1, 7, 7, 39, 12, , 0, 6, 0, 0, 7, 0, 1, 8.59, 3.69, 2.46, 49.3
2009, 히어로즈, 23, 0, 0, 1, 7, 7, 7, 4, 88.2, 50, 42, 376, 74, , 9, 44, 5, 6, 58, 0, 3, 4.26, 4.72, 1.33, 113.2
2010, 넥센, 24, 0, 0, 0, 1, 2, 0, 4, 75.0, 38, 36, 323, 71, , 5, 45, 0, 5, 35, 1, 1, 4.32, 5.22, 1.55, 105.3
2011, 넥센, 25, 0, 0, 0, 5, 3, 1, 5, 87.2, 37, 34, 386, 92, , 5, 42, 4, 1, 52, 0, 2, 3.49, 4.08, 1.53, 117.7
2012, 넥센, 26, 0, 0, 2, 3, 1, 0, 0, 41.0, 26, 24, 184, 42, , 3, 18, 0, 4, 17, 0, 3, 5.27, 4.84, 1.46, 72.8
2013, 넥센, 27, 0, 0, 1, 1, 3, 0, 1, 39.2, 19, 19, 169, 43, , 2, 11, 0, 3, 18, 0, 1, 4.31, 4.16, 1.36, 101.1
2016, 넥센, 30, 0, 0, 0, 5, 7, 0, 25, 64.2, 36, 32, 290, 69, 3, 3, 27, 1, 6, 56, 0, 5, 4.45, 4.15, 1.49, 117.9
2017, 넥센, 31, 0, 0, 0, 6, 2, 6, 18, 52.2, 32, 32, 236, 62, 0, 9, 17, 0, 0, 58, 0, 2, 5.47, 4.72, 1.50, 90.9
2018, 넥센, 32, 0, 0, 0, 7, 6, 0, 24, 61.0, 36, 29, 263, 66, 2, 6, 14, 1, 4, 54, 0, 2, 4.28, 4.18, 1.31, 120.4
2019, 키움, 33, 0, 0, 0, 0, 2, 0, 3, 16.2, 18, 18, 80, 29, 2, 1, 4, 0, 0, 12, 0, 0, 9.72, 3.46, 1.98, 42.5
2020, KT, 34, 0, 0, 0, 3, 1, 6, 9, 46.2, 17, 13, 192, 42, 0, 2, 12, 1, 2, 27, 0, 3, 2.51, 3.79, 1.16, 191.6
2021, KT, 35, 0, 0, 0, 0, 1, 0, 1, 10.0, 18, 17, 61, 25, 0, 3, 6, 0, 0, 7, 0, 2, 15.30, 7.63, 3.10, 29.4
