year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 빙그레, 24, 19, 4, 30, 12, 17, 1, 0, 243.1, 88, 71, 972, 216, , 17, 43, 3, 11, 104, 0, 0, 2.63, 2.76, 1.06, 119.5
1987, 빙그레, 25, 24, 3, 27, 18, 11, 2, 0, 246.2, 83, 70, 1006, 233, , 13, 52, 1, 10, 85, 2, 2, 2.55, 3.21, 1.16, 143.4
1988, 빙그레, 26, 3, 1, 8, 10, 3, 16, 0, 135.0, 38, 36, 530, 120, , 7, 22, 2, 3, 47, 0, 2, 2.40, 3.07, 1.05, 163.5
1989, 빙그레, 27, 7, 1, 15, 16, 5, 3, 0, 140.1, 45, 40, 577, 138, , 9, 36, 1, 2, 74, 0, 3, 2.57, 3.17, 1.24, 149.7
1990, 빙그레, 28, 0, 0, 14, 6, 4, 0, 0, 86.1, 35, 30, 359, 91, , 5, 24, 0, 1, 30, 1, 2, 3.13, 3.50, 1.33, 125.6
1991, 빙그레, 29, 0, 0, 7, 3, 2, 0, 0, 12.1, 25, 19, 168, 36, , 2, 19, 0, 2, 20, 0, 1, 13.86, 6.66, 4.46, 28.6
1992, 빙그레, 30, 0, 0, 7, 10, 2, 2, 0, 96.2, 46, 41, 413, 89, , 12, 32, 4, 8, 55, 0, 4, 3.82, 4.37, 1.25, 113.4
1993, 빙그레, 31, 5, 1, 16, 7, 7, 3, 0, 128.1, 41, 36, 530, 115, , 5, 42, 1, 7, 51, 0, 6, 2.52, 3.30, 1.22, 131.6
1994, 한화, 32, 3, 0, 16, 6, 7, 1, 0, 107.2, 59, 51, 467, 116, , 4, 32, 3, 7, 46, 0, 7, 4.26, 3.44, 1.38, 88.9
1995, 한화, 33, 1, 0, 14, 6, 8, 1, 0, 97.0, 56, 51, 427, 106, , 11, 38, 1, 5, 43, 0, 4, 4.73, 4.70, 1.49, 78.2
1996, 한화, 34, 0, 0, 5, 0, 3, 0, 0, 23.2, 26, 23, 120, 35, , 5, 13, 1, 2, 11, 0, 1, 8.75, 6.38, 2.03, 41.7
1999, 한화, 37, 0, 0, 3, 5, 5, 1, 0, 57.0, 34, 28, 239, 59, , 6, 14, 1, 2, 38, 0, 3, 4.42, 4.10, 1.28, 115.4
2000, 한화, 38, 0, 0, 5, 1, 2, 0, 0, 30.1, 19, 16, 128, 32, , 6, 6, 0, 2, 15, 0, 2, 4.75, 5.53, 1.25, 100.1
2001, 한화, 39, 0, 0, 1, 0, 1, 0, 1, 7.0, 6, 6, 39, 10, , 2, 8, 2, 0, 3, 0, 4, 7.71, 8.54, 2.57, 63.3
