year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 한화, 19, 0, 0, 0, 0, 0, 0, 0, 17.1, 14, 14, 82, 24, , 3, 7, 0, 0, 13, 0, 3, 7.27, 4.75, 1.79, 50.2
1997, 한화, 20, 0, 0, 1, 1, 5, 2, 0, 51.2, 24, 24, 219, 48, , 8, 23, 1, 1, 31, 0, 2, 4.18, 5.02, 1.37, 96.8
1998, 한화, 21, 0, 0, 2, 0, 0, 0, 0, 26.0, 22, 20, 126, 27, , 4, 26, 1, 2, 18, 0, 3, 6.92, 6.63, 2.04, 59.1
1999, 한화, 22, 0, 0, 6, 3, 1, 1, 0, 54.0, 37, 36, 250, 63, , 11, 32, 0, 3, 42, 0, 3, 6.00, 6.31, 1.76, 85.0
2000, 한화, 23, 0, 0, 12, 3, 7, 0, 0, 88.1, 64, 56, 408, 95, , 19, 46, 2, 3, 75, 0, 5, 5.71, 5.85, 1.60, 83.3
2001, 한화,현대, 24, 0, 0, 0, 1, 1, 0, 2, 17.0, 7, 6, 92, 27, , 1, 10, 1, 2, 10, 0, 1, 3.18, 4.64, 2.18, 147.7
, 현대, 24, 0, 0, 0, 1, 1, 0, 2, 17.0, 7, 6, 92, 27, , 1, 10, 1, 2, 10, 0, 1, 3.18, 4.64, 2.18, 147.7
, 한화, 24, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, , , , 
2002, 현대, 25, 0, 0, 3, 4, 2, 1, 10, 73.1, 37, 32, 307, 71, , 5, 19, 1, 1, 71, 0, 3, 3.93, 2.73, 1.23, 108.7
2003, 현대, 26, 0, 0, 0, 2, 1, 2, 16, 58.2, 20, 19, 249, 55, , 4, 19, 0, 2, 48, 0, 3, 2.91, 3.08, 1.26, 148.2
2004, 현대, 27, 0, 0, 0, 4, 1, 0, 20, 60.0, 19, 17, 247, 55, , 5, 18, 0, 1, 46, 0, 1, 2.55, 3.45, 1.22, 169.8
2007, 현대, 30, 0, 0, 0, 0, 0, 0, 2, 2.2, 4, 4, 16, 6, , 0, 2, 0, 0, 2, 0, 0, 13.50, 3.58, 3.00, 29.6
2008, 히어로즈, 31, 0, 0, 0, 0, 1, 0, 0, 4.0, 5, 5, 22, 6, , 1, 4, 0, 0, 1, 0, 0, 11.25, 8.90, 2.50, 37.7
2009, 히어로즈, 32, 0, 0, 0, 0, 1, 0, 5, 11.0, 10, 9, 49, 12, , 4, 3, 0, 0, 6, 0, 1, 7.36, 7.64, 1.36, 65.6
2010, LG, 33, 0, 0, 0, 2, 2, 0, 16, 59.2, 23, 22, 242, 52, , 3, 20, 2, 2, 44, 0, 1, 3.32, 3.47, 1.21, 137.0
2011, LG, 34, 0, 0, 0, 0, 6, 3, 18, 44.0, 23, 19, 187, 45, , 2, 12, 1, 1, 27, 0, 1, 3.89, 3.37, 1.30, 105.5
2012, LG, 35, 0, 0, 0, 1, 3, 0, 15, 55.2, 24, 23, 227, 47, , 5, 16, 4, 2, 29, 0, 0, 3.72, 3.98, 1.13, 102.8
2013, LG, 36, 0, 0, 0, 2, 3, 0, 13, 33.0, 15, 12, 152, 43, , 1, 12, 0, 3, 22, 0, 1, 3.27, 3.77, 1.67, 129.7
2014, LG, 37, 0, 0, 0, 0, 0, 0, 1, 8.0, 7, 7, 38, 11, 0, 1, 3, 0, 1, 5, 0, 1, 7.88, 5.73, 1.75, 62.9
