year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1990, 삼성, 19, 0, 0, 2, 0, 2, 0, 0, 16.0, 19, 17, 84, 30, , 1, 8, 0, 1, 7, 0, 1, 9.56, 4.19, 2.38, 41.3
1991, 삼성, 20, 0, 0, 2, 1, 0, 0, 0, 42.2, 30, 28, 192, 54, , 3, 19, 0, 4, 21, 0, 3, 5.91, 4.24, 1.71, 68.8
1992, 삼성, 21, 0, 0, 2, 1, 0, 0, 0, 24.1, 26, 26, 123, 35, , 5, 16, 0, 4, 18, 0, 0, 9.62, 6.44, 2.10, 45.6
1993, 삼성, 22, 0, 0, 5, 2, 3, 4, 0, 84.1, 35, 24, 353, 76, , 4, 29, 0, 7, 46, 0, 2, 2.56, 3.27, 1.25, 130.0
1994, 삼성, 23, 0, 0, 2, 2, 2, 0, 0, 70.1, 36, 35, 304, 75, , 6, 25, 0, 3, 35, 0, 3, 4.48, 4.12, 1.42, 85.8
1995, 삼성, 24, 0, 0, 0, 1, 0, 0, 0, 4.2, 7, 7, 22, 7, , 0, 2, 0, 0, 5, 0, 0, 13.50, 1.95, 1.93, 28.0
1996, 삼성, 25, 0, 0, 5, 2, 3, 1, 0, 76.1, 30, 28, 312, 71, , 5, 22, 0, 7, 35, 0, 4, 3.30, 3.86, 1.22, 114.4
1997, 삼성, 26, 0, 0, 1, 1, 2, 3, 0, 58.0, 37, 36, 264, 75, , 9, 23, 6, 2, 33, 0, 5, 5.59, 4.74, 1.69, 74.2
1998, 삼성, 27, 0, 0, 0, 0, 0, 0, 0, 21.0, 11, 10, 89, 20, , 5, 10, 2, 0, 12, 0, 4, 4.29, 5.99, 1.43, 95.9
1999, 삼성,두산, 28, 0, 0, 13, 4, 6, 0, 0, 101.2, 74, 70, 482, 119, , 18, 66, 1, 4, 59, 2, 10, 6.20, 6.45, 1.82, 77.8
, 삼성, 28, 0, 0, 7, 3, 4, 0, 0, 59.0, 53, 50, 291, 83, , 12, 34, 1, 3, 25, 1, 5, 7.63, 6.90, 1.98, 66.5
, 두산, 28, 0, 0, 6, 1, 2, 0, 0, 42.2, 21, 20, 191, 36, , 6, 32, 0, 1, 34, 1, 5, 4.22, 5.83, 1.59, 114.3
2000, 두산, 29, 0, 0, 6, 4, 4, 2, 0, 88.2, 63, 59, 416, 103, , 7, 40, 2, 9, 63, 0, 5, 5.99, 4.36, 1.61, 74.6
2001, 두산, 30, 0, 0, 0, 0, 0, 0, 2, 34.0, 34, 31, 162, 43, , 6, 15, 0, 2, 15, 0, 4, 8.21, 6.02, 1.71, 55.8
2002, 두산, 31, 0, 0, 8, 4, 10, 2, 6, 133.2, 59, 58, 567, 129, , 9, 40, 5, 10, 93, 0, 6, 3.91, 3.50, 1.26, 105.5
2003, 두산, 32, 0, 0, 0, 1, 1, 0, 1, 16.2, 22, 18, 86, 26, , 3, 5, 1, 1, 9, 0, 0, 9.72, 4.92, 1.86, 42.8
2004, 롯데, 33, 0, 0, 0, 0, 0, 0, 0, 3.0, 3, 3, 15, 7, , 1, 0, 0, 0, 2, 0, 1, 9.00, 5.95, 2.33, 47.4
year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1993, LG, 22, 7, 3, 24, 9, 9, 0, 0, 150.2, 65, 63, 635, 129, , 10, 75, 1, 3, 131, 2, 3, 3.76, 3.12, 1.35, 83.9
1994, LG, 23, 6, 2, 27, 18, 8, 0, 0, 189.2, 58, 52, 754, 140, , 9, 57, 1, 7, 148, 2, 2, 2.47, 2.86, 1.04, 147.7
1995, LG, 24, 12, 3, 29, 20, 5, 0, 0, 228.1, 61, 51, 867, 150, , 12, 48, 1, 3, 142, 2, 4, 2.01, 2.91, 0.87, 177.1
1996, LG, 25, 0, 0, 4, 3, 3, 10, 0, 99.1, 32, 28, 401, 70, , 8, 37, 4, 5, 95, 1, 2, 2.54, 3.07, 1.08, 140.9
1997, LG, 26, 0, 0, 0, 10, 6, 37, 0, 85.1, 23, 20, 336, 56, , 6, 25, 5, 2, 103, 0, 0, 2.11, 2.15, 0.95, 184.2
2002, LG, 31, 0, 0, 0, 7, 2, 18, 0, 85.2, 18, 16, 343, 53, , 8, 30, 9, 3, 92, 0, 2, 1.68, 2.91, 0.97, 246.0
2003, LG, 32, 0, 0, 0, 4, 4, 30, 0, 56.2, 22, 21, 233, 42, , 4, 21, 4, 0, 55, 0, 1, 3.34, 2.64, 1.11, 124.5
2004, SK, 33, 0, 0, 0, 0, 3, 3, 1, 14.0, 8, 8, 61, 11, , 2, 9, 1, 0, 15, 0, 0, 5.14, 4.38, 1.43, 81.8
