year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, SK, 19, 1, 0, 16, 10, 12, 9, 0, 139.2, 77, 70, 610, 130, , 14, 70, 10, 5, 132, 1, 4, 4.51, 3.97, 1.43, 102.9
2001, SK, 20, 6, 1, 33, 14, 14, 2, 0, 220.2, 101, 87, 951, 200, , 27, 115, 2, 5, 165, 0, 6, 3.55, 4.81, 1.43, 132.6
2002, SK, 21, 1, 0, 19, 6, 12, 0, 0, 142.2, 55, 50, 582, 120, , 18, 40, 4, 5, 144, 0, 2, 3.15, 3.49, 1.12, 133.4
2003, SK, 22, 2, 2, 15, 5, 4, 0, 2, 97.0, 45, 44, 423, 88, , 16, 50, 0, 9, 81, 0, 1, 4.08, 5.06, 1.42, 102.2
2004, SK, 23, 1, 0, 30, 15, 9, 0, 1, 169.0, 87, 75, 743, 160, , 21, 87, 2, 13, 145, 0, 2, 3.99, 4.59, 1.46, 105.3
2005, SK, 24, 0, 0, 0, 0, 0, 0, 0, 3.2, 0, 0, 16, 2, , 0, 2, 0, 1, 6, 0, 0, 0.00, 2.20, 1.09, 
2008, SK, 27, 0, 0, 2, 4, 1, 2, 5, 35.1, 15, 14, 153, 28, , 3, 22, 0, 4, 28, 0, 1, 3.57, 4.88, 1.42, 113.8
2009, SK, 28, 0, 0, 1, 7, 5, 6, 7, 106.0, 54, 52, 465, 105, , 13, 56, 5, 5, 96, 0, 1, 4.42, 4.56, 1.52, 107.2
2010, SK, 29, 0, 0, 5, 6, 4, 20, 5, 89.2, 44, 42, 395, 81, , 12, 51, 6, 4, 96, 0, 3, 4.22, 4.52, 1.47, 107.9
2011, SK, 30, 0, 0, 1, 6, 3, 2, 2, 64.1, 28, 25, 284, 48, , 3, 47, 3, 1, 50, 0, 2, 3.50, 4.34, 1.48, 117.4
2012, 롯데, 31, 0, 0, 0, 2, 3, 0, 1, 48.2, 23, 20, 216, 40, , 1, 35, 2, 1, 27, 0, 5, 3.70, 4.36, 1.54, 103.6
2013, NC, 32, 0, 0, 1, 0, 1, 0, 0, 9.1, 11, 10, 45, 13, , 2, 7, 0, 0, 5, 0, 0, 9.64, 7.31, 2.14, 44.6
2015, NC, 34, 0, 0, 1, 0, 1, 0, 0, 1.0, 4, 4, 7, 3, 0, 0, 1, 0, 0, 1, 0, 0, 36.00, 4.62, 4.00, 13.3
year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1999, LG, 23, 0, 0, 0, 0, 2, 0, 0, 10.2, 12, 12, 55, 16, , 4, 6, 1, 2, 7, 1, 0, 10.13, 8.80, 2.06, 48.0
2000, LG, 24, 1, 1, 2, 6, 6, 5, 1, 64.2, 24, 23, 276, 50, , 7, 38, 0, 1, 52, 1, 1, 3.20, 4.77, 1.36, 139.7
2001, LG, 25, 0, 0, 1, 0, 0, 0, 2, 17.2, 25, 25, 102, 25, , 5, 23, 2, 3, 18, 0, 3, 12.74, 8.83, 2.72, 36.0
2002, LG, 26, 0, 0, 4, 2, 2, 1, 3, 46.0, 22, 21, 194, 35, , 4, 26, 1, 2, 44, 0, 4, 4.11, 3.98, 1.33, 100.6
2003, LG, 27, 1, 1, 30, 11, 11, 0, 0, 191.2, 76, 68, 817, 151, , 17, 103, 3, 9, 157, 0, 6, 3.19, 3.98, 1.33, 130.1
2004, LG, 28, 1, 1, 21, 9, 7, 0, 0, 129.2, 53, 39, 556, 111, , 9, 72, 1, 3, 115, 0, 6, 2.71, 3.79, 1.41, 155.1
2005, LG, 29, 1, 1, 20, 5, 10, 0, 0, 111.0, 73, 68, 509, 122, , 15, 51, 1, 3, 94, 0, 4, 5.51, 4.51, 1.56, 75.5
2006, LG, 30, 0, 0, 16, 8, 7, 0, 1, 103.0, 56, 51, 449, 114, , 13, 35, 0, 2, 86, 0, 6, 4.46, 3.75, 1.45, 79.5
2007, LG, 31, 0, 0, 13, 2, 2, 0, 0, 69.1, 37, 33, 319, 69, , 3, 39, 1, 2, 51, 0, 4, 4.28, 3.65, 1.56, 90.7
2008, LG, 32, 0, 0, 5, 0, 2, 0, 1, 24.1, 25, 25, 128, 37, , 2, 18, 0, 4, 15, 0, 0, 9.25, 5.70, 2.26, 44.3
2009, SK, 33, 0, 0, 1, 0, 0, 0, 0, 3.2, 3, 3, 14, 5, , 1, 0, 0, 0, 1, 0, 0, 7.36, 6.19, 1.36, 64.3
2010, SK, 34, 0, 0, 3, 2, 0, 0, 1, 31.0, 9, 7, 121, 23, , 3, 13, 0, 1, 30, 0, 3, 2.03, 3.96, 1.16, 223.8
2011, SK, 35, 0, 0, 7, 6, 3, 0, 0, 60.0, 29, 28, 262, 46, , 7, 39, 0, 4, 51, 1, 7, 4.20, 5.16, 1.42, 97.7
