year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, 삼성, 23, 0, 0, 23, 9, 7, 0, 2, 139.0, 88, 87, 619, 146, , 22, 72, 0, 11, 112, 3, 9, 5.63, 5.40, 1.57, 84.2
2001, 삼성, 24, 0, 0, 16, 4, 4, 0, 0, 71.2, 53, 44, 335, 86, , 9, 32, 1, 3, 45, 0, 3, 5.53, 4.91, 1.65, 87.0
2002, SK, 25, 0, 0, 5, 2, 3, 0, 0, 41.2, 41, 40, 199, 51, , 11, 20, 2, 5, 46, 0, 2, 8.64, 5.88, 1.70, 48.7
2003, SK,롯데, 26, 0, 0, 1, 0, 1, 0, 0, 13.0, 17, 16, 78, 25, , 5, 14, 0, 2, 9, 0, 1, 11.08, 10.07, 3.00, 38.2
, 롯데, 26, 0, 0, 1, 0, 1, 0, 0, 10.0, 10, 9, 60, 17, , 3, 13, 0, 2, 4, 0, 1, 8.10, 10.36, 3.00, 52.3
, SK, 26, 0, 0, 0, 0, 0, 0, 0, 3.0, 7, 7, 18, 8, , 2, 1, 0, 0, 5, 0, 0, 21.00, 9.09, 3.00, 19.9
2004, 롯데, 27, 1, 0, 4, 1, 3, 0, 0, 33.2, 17, 15, 140, 28, , 1, 10, 1, 4, 36, 1, 1, 4.01, 2.36, 1.13, 106.5
2005, 롯데, 28, 0, 0, 19, 7, 9, 1, 0, 106.0, 63, 59, 461, 94, , 12, 45, 2, 6, 106, 0, 3, 5.01, 3.87, 1.31, 82.2
2008, 롯데, 31, 0, 0, 17, 6, 7, 0, 1, 99.0, 47, 45, 433, 117, , 2, 41, 0, 2, 60, 1, 3, 4.09, 3.50, 1.60, 98.5
2009, 롯데, 32, 0, 0, 16, 5, 7, 0, 0, 80.0, 60, 56, 363, 91, , 13, 46, 4, 7, 35, 1, 2, 6.30, 6.26, 1.71, 76.0
2010, 롯데, 33, 0, 0, 2, 0, 2, 0, 0, 16.1, 15, 15, 77, 27, , 3, 4, 0, 1, 8, 0, 0, 8.27, 5.61, 1.90, 56.0
2011, 롯데, 34, 0, 0, 1, 0, 1, 0, 0, 4.0, 5, 5, 19, 9, , 0, 0, 0, 0, 1, 0, 0, 11.25, 2.69, 2.25, 37.3
2012, 롯데, 35, 0, 0, 18, 8, 5, 1, 1, 101.2, 44, 34, 419, 102, , 4, 25, 1, 3, 57, 0, 1, 3.01, 3.29, 1.25, 127.3
