year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, 두산, 23, 0, 0, 3, 4, 6, 2, 7, 97.1, 36, 32, 398, 64, , 9, 47, 3, 3, 112, 0, 3, 2.96, 3.35, 1.14, 139.2
2003, 두산, 24, 0, 0, 10, 6, 2, 5, 10, 116.0, 55, 47, 515, 105, , 12, 78, 2, 3, 83, 1, 5, 3.65, 4.72, 1.58, 114.0
2004, 두산, 25, 0, 0, 0, 9, 7, 3, 14, 94.0, 30, 27, 383, 71, , 7, 39, 5, 4, 79, 1, 4, 2.59, 3.45, 1.17, 162.0
2005, 두산, 26, 0, 0, 1, 1, 2, 0, 1, 22.1, 10, 10, 101, 24, , 4, 11, 0, 0, 20, 0, 3, 4.03, 5.03, 1.57, 102.7
2008, 두산,LG, 29, 0, 0, 3, 1, 4, 1, 8, 68.1, 47, 47, 298, 69, , 8, 32, 0, 3, 39, 1, 0, 6.19, 5.07, 1.48, 66.1
, 두산, 29, 0, 0, 1, 0, 0, 0, 0, 17.0, 13, 13, 79, 21, , 3, 9, 0, 1, 8, 0, 0, 6.88, 6.27, 1.77, 59.5
, LG, 29, 0, 0, 2, 1, 4, 1, 8, 51.1, 34, 34, 219, 48, , 5, 23, 0, 2, 31, 1, 0, 5.96, 4.67, 1.38, 68.7
2009, LG, 30, 0, 0, 0, 5, 3, 11, 1, 56.2, 30, 26, 256, 61, , 6, 29, 1, 3, 47, 0, 3, 4.13, 4.55, 1.59, 115.4
2010, LG,SK, 31, 0, 0, 0, 0, 0, 0, 0, 10.2, 9, 8, 55, 15, , 2, 10, 0, 2, 6, 0, 3, 6.75, 7.97, 2.34, 67.4
, SK, 31, 0, 0, 0, 0, 0, 0, 0, 5.2, 3, 2, 28, 7, , 0, 5, 0, 0, 4, 0, 2, 3.18, 4.52, 2.12, 143.2
, LG, 31, 0, 0, 0, 0, 0, 0, 0, 5.0, 6, 6, 27, 8, , 2, 5, 0, 2, 2, 0, 1, 10.80, 11.89, 2.60, 42.1
2011, SK, 32, 0, 0, 0, 2, 0, 0, 2, 29.0, 9, 9, 109, 19, , 3, 8, 0, 0, 15, 0, 0, 2.79, 4.33, 0.93, 147.0
2012, SK, 33, 0, 0, 0, 6, 3, 1, 10, 65.0, 32, 31, 293, 65, , 6, 35, 6, 5, 46, 2, 3, 4.29, 4.46, 1.54, 88.8
2013, SK, 34, 0, 0, 0, 2, 4, 0, 3, 43.2, 30, 27, 193, 39, , 5, 24, 0, 5, 35, 0, 2, 5.56, 5.23, 1.44, 78.0
2014, SK, 35, 0, 0, 0, 1, 0, 0, 4, 48.0, 35, 33, 209, 45, 1, 7, 28, 0, 0, 42, 0, 5, 6.19, 5.75, 1.52, 82.5
2015, SK, 36, 0, 0, 0, 1, 0, 0, 1, 31.0, 18, 16, 145, 36, 1, 4, 13, 0, 3, 26, 0, 1, 4.65, 5.16, 1.58, 104.0
