year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2010, 두산, 20, 0, 0, 1, 1, 1, 0, 0, 23.1, 14, 13, 107, 21, , 3, 13, 1, 6, 18, 1, 2, 5.01, 5.73, 1.46, 90.7
2013, NC, 23, 2, 1, 24, 10, 5, 1, 0, 156.0, 53, 50, 646, 123, , 12, 59, 0, 14, 144, 0, 2, 2.88, 3.91, 1.17, 148.9
2014, NC, 24, 1, 0, 28, 10, 9, 0, 0, 156.0, 77, 73, 668, 152, 2, 16, 68, 0, 8, 131, 0, 2, 4.21, 4.97, 1.41, 123.6
2015, NC, 25, 0, 0, 23, 10, 8, 0, 1, 125.0, 58, 57, 545, 115, 1, 17, 58, 1, 9, 116, 0, 5, 4.10, 5.11, 1.38, 116.7
2016, NC, 26, 0, 0, 24, 12, 4, 0, 0, 127.2, 72, 65, 569, 140, 2, 19, 54, 0, 6, 134, 0, 3, 4.58, 5.04, 1.52, 111.1
2017, NC, 27, 0, 0, 23, 5, 7, 0, 0, 119.0, 88, 75, 546, 142, 0, 22, 41, 0, 13, 117, 0, 6, 5.67, 5.53, 1.54, 87.5
2018, NC, 28, 1, 0, 29, 5, 13, 0, 0, 152.1, 87, 81, 658, 157, 2, 13, 49, 2, 10, 116, 0, 6, 4.79, 4.54, 1.35, 108.4
2019, NC, 29, 0, 0, 23, 10, 4, 0, 0, 129.2, 62, 55, 560, 133, 2, 6, 43, 0, 9, 91, 0, 6, 3.82, 3.80, 1.36, 111.0
2020, NC, 30, 0, 0, 19, 5, 6, 0, 0, 90.2, 66, 66, 410, 105, 1, 14, 43, 0, 5, 61, 1, 4, 6.55, 5.81, 1.63, 74.6
2021, NC, 31, 2, 1, 17, 6, 6, 0, 0, 83.0, 50, 48, 370, 74, 1, 14, 52, 0, 6, 65, 0, 3, 5.20, 6.06, 1.52, 87.2
2022, NC, 32, 0, 0, 5, 0, 3, 0, 0, 18.0, 17, 15, 87, 16, 0, 1, 9, 0, 6, 12, 0, 1, 7.50, 5.11, 1.39, 49.6
