year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2012, 한화, 22, 0, 0, 0, 0, 0, 0, 0, 2.0, 3, 3, 12, 5, , 0, 1, 0, 0, 1, 0, 0, 13.50, 3.60, 3.00, 29.0
2013, 한화, 23, 0, 0, 5, 0, 3, 0, 0, 60.2, 44, 42, 278, 75, , 10, 23, 0, 6, 39, 0, 0, 6.23, 5.64, 1.62, 69.6
2014, 한화, 24, 0, 0, 26, 7, 10, 0, 0, 153.0, 100, 90, 677, 183, 6, 27, 41, 2, 7, 96, 1, 10, 5.29, 5.80, 1.46, 102.5
2016, 한화, 26, 0, 0, 25, 5, 8, 1, 0, 112.1, 66, 62, 512, 128, 0, 15, 62, 1, 3, 60, 0, 2, 4.97, 6.17, 1.69, 105.7
2017, 한화, 27, 0, 0, 12, 3, 6, 0, 0, 59.0, 49, 47, 275, 79, 1, 12, 26, 1, 2, 29, 0, 2, 7.17, 6.77, 1.78, 70.1
2018, 한화, 28, 0, 0, 0, 4, 2, 0, 12, 79.1, 30, 25, 325, 66, 1, 10, 23, 2, 4, 85, 0, 4, 2.84, 4.27, 1.12, 186.8
2019, 한화, 29, 0, 0, 1, 1, 6, 0, 10, 66.2, 44, 43, 283, 74, 2, 8, 13, 0, 3, 64, 0, 4, 5.81, 3.76, 1.31, 71.4
2020, 한화,SK, 30, 0, 0, 0, 2, 1, 0, 4, 56.0, 35, 34, 250, 68, 1, 8, 16, 2, 1, 45, 0, 3, 5.46, 4.61, 1.50, 88.0
, 한화, 30, 0, 0, 0, 0, 0, 0, 0, 8.2, 7, 7, 39, 11, 1, 1, 5, 1, 0, 8, 0, 1, 7.27, 4.59, 1.85, 65.0
, SK, 30, 0, 0, 0, 2, 1, 0, 4, 47.1, 28, 27, 211, 57, 0, 7, 11, 1, 1, 37, 0, 2, 5.13, 4.61, 1.44, 94.0
2021, SSG, 31, 0, 0, 14, 5, 10, 0, 4, 103.2, 66, 66, 456, 123, 1, 25, 32, 1, 1, 62, 0, 2, 5.73, 6.20, 1.50, 78.3
2022, SSG, 32, 0, 0, 4, 3, 0, 0, 1, 33.2, 7, 7, 135, 27, 0, 3, 8, 2, 2, 19, 0, 0, 1.87, 3.96, 1.04, 201.7
