year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1997, LG, 24, 0, 0, 22, 11, 7, 0, 0, 135.2, 55, 53, 564, 129, , 10, 34, 2, 13, 77, 0, 0, 3.52, 3.69, 1.20, 110.5
1998, LG, 25, 0, 0, 12, 1, 6, 0, 0, 59.2, 53, 46, 267, 71, , 11, 20, 0, 7, 29, 0, 0, 6.94, 5.68, 1.53, 55.8
1999, 현대, 26, 0, 0, 2, 0, 1, 0, 0, 19.0, 19, 17, 90, 33, , 3, 5, 0, 2, 10, 0, 0, 8.05, 5.38, 2.00, 61.3
2000, 현대, 27, 1, 1, 29, 18, 4, 0, 0, 195.1, 75, 73, 802, 177, , 13, 61, 0, 7, 174, 0, 8, 3.36, 3.29, 1.22, 134.3
2001, 현대, 28, 5, 1, 24, 14, 9, 0, 0, 159.2, 84, 78, 681, 201, , 10, 43, 0, 3, 77, 0, 2, 4.40, 3.82, 1.53, 106.7
2002, 현대, 29, 0, 0, 20, 8, 6, 1, 0, 105.2, 58, 53, 457, 118, , 12, 24, 0, 7, 61, 0, 2, 4.51, 4.20, 1.34, 94.6
2003, 현대, 30, 0, 0, 4, 0, 2, 0, 0, 13.1, 14, 14, 64, 23, , 2, 3, 0, 1, 4, 0, 0, 9.45, 5.01, 1.95, 45.7
2004, 현대, 31, 0, 0, 2, 0, 0, 0, 0, 3.2, 7, 7, 26, 9, , 0, 3, 0, 3, 1, 0, 0, 17.18, 7.31, 3.27, 25.2
2005, 현대, 32, 0, 0, 2, 0, 1, 0, 0, 3.2, 7, 7, 21, 9, , 0, 3, 0, 0, 3, 0, 0, 17.18, 3.83, 3.27, 25.0
2006, 현대, 33, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 4, 1, , 0, 0, 0, 0, 0, 0, 0, 0.00, 2.70, 1.00, 
