year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2009, 히어로즈, 24, 0, 0, 0, 0, 0, 0, 0, 1.0, 4, 4, 8, 2, , 0, 3, 0, 0, 0, 0, 1, 36.00, 12.19, 5.00, 13.4
2012, 넥센, 27, 0, 0, 0, 0, 0, 0, 0, 4.0, 2, 2, 18, 3, , 0, 3, 0, 0, 2, 0, 0, 4.50, 4.35, 1.50, 85.2
2013, NC, 28, 0, 0, 0, 6, 6, 4, 9, 64.2, 29, 27, 264, 41, , 10, 32, 0, 2, 63, 0, 6, 3.76, 4.99, 1.13, 114.3
2014, NC, 29, 0, 0, 0, 6, 3, 1, 5, 53.1, 28, 26, 240, 50, 0, 5, 29, 1, 2, 53, 1, 2, 4.39, 4.77, 1.48, 118.6
2015, NC, 30, 0, 0, 0, 1, 5, 31, 0, 64.0, 28, 27, 266, 57, 2, 7, 21, 2, 1, 72, 0, 3, 3.80, 3.73, 1.22, 126.2
2016, NC, 31, 0, 0, 0, 1, 3, 26, 6, 70.0, 22, 20, 302, 61, 0, 5, 30, 0, 5, 91, 1, 8, 2.57, 3.62, 1.30, 198.0
2017, NC, 32, 0, 0, 0, 4, 3, 29, 0, 66.0, 27, 27, 272, 60, 0, 10, 23, 2, 1, 62, 0, 4, 3.68, 4.83, 1.26, 134.8
2018, NC, 33, 0, 0, 0, 0, 1, 3, 0, 7.0, 6, 5, 33, 8, 0, 2, 2, 1, 0, 9, 0, 0, 6.43, 5.40, 1.43, 80.7
2019, NC, 34, 0, 0, 0, 0, 1, 0, 2, 15.0, 6, 4, 64, 14, 0, 1, 8, 1, 1, 10, 0, 1, 2.40, 4.54, 1.47, 176.6
2020, NC, 35, 0, 0, 0, 7, 2, 0, 11, 37.2, 26, 22, 179, 39, 1, 4, 23, 1, 2, 44, 0, 3, 5.26, 4.51, 1.65, 92.9
2021, NC, 36, 0, 0, 0, 0, 3, 0, 17, 40.1, 23, 17, 178, 35, 0, 2, 20, 1, 4, 29, 0, 7, 3.79, 4.25, 1.36, 119.7
2022, 두산, 37, 0, 0, 0, 0, 0, 2, 6, 10.1, 8, 7, 47, 11, 0, 2, 2, 0, 1, 9, 0, 0, 6.10, 4.86, 1.26, 59.1
