year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2006, 현대, 23, 0, 0, 29, 12, 10, 0, 0, 183.1, 60, 58, 743, 146, , 19, 63, 0, 5, 142, 0, 3, 2.85, 3.61, 1.14, 126.9
2007, 현대, 24, 0, 0, 30, 9, 10, 0, 0, 168.2, 80, 68, 719, 152, , 16, 75, 0, 3, 132, 0, 4, 3.63, 3.89, 1.35, 110.0
2008, 히어로즈, 25, 2, 2, 27, 12, 8, 0, 0, 167.1, 54, 53, 674, 145, , 9, 57, 1, 2, 126, 1, 3, 2.85, 3.38, 1.21, 148.6
2009, 히어로즈, 26, 0, 0, 19, 4, 8, 0, 0, 91.0, 57, 56, 411, 108, , 17, 31, 0, 6, 60, 0, 4, 5.54, 5.52, 1.53, 87.2
2010, 삼성, 27, 0, 0, 28, 13, 5, 0, 0, 151.0, 62, 58, 631, 139, , 13, 44, 1, 5, 115, 0, 3, 3.46, 3.84, 1.21, 133.4
2011, 삼성, 28, 0, 0, 21, 8, 8, 0, 0, 115.0, 58, 53, 509, 139, , 13, 37, 0, 0, 68, 0, 1, 4.15, 4.44, 1.53, 100.6
2012, 삼성, 29, 0, 0, 25, 17, 6, 0, 1, 157.0, 64, 62, 649, 143, , 9, 38, 1, 9, 127, 0, 2, 3.55, 3.11, 1.15, 107.4
2013, 삼성, 30, 1, 0, 26, 13, 10, 1, 0, 154.0, 85, 75, 658, 165, , 21, 42, 0, 9, 104, 1, 6, 4.38, 4.76, 1.34, 97.7
2014, 삼성, 31, 0, 0, 24, 11, 5, 0, 0, 129.1, 70, 59, 562, 149, 2, 16, 37, 0, 5, 63, 0, 6, 4.11, 5.46, 1.44, 128.8
2015, 삼성, 32, 0, 0, 25, 10, 9, 0, 0, 136.2, 96, 88, 599, 151, 2, 29, 50, 1, 1, 107, 0, 3, 5.80, 5.91, 1.47, 85.2
2016, 삼성, 33, 0, 0, 13, 5, 8, 0, 2, 78.1, 69, 61, 366, 114, 4, 16, 23, 1, 2, 53, 0, 2, 7.01, 6.01, 1.75, 75.2
2017, 삼성, 34, 0, 0, 5, 4, 5, 0, 6, 67.1, 48, 42, 310, 96, 0, 8, 17, 0, 5, 55, 0, 2, 5.61, 4.63, 1.68, 90.4
2018, 삼성, 35, 0, 0, 8, 3, 1, 0, 0, 38.0, 27, 26, 173, 47, 1, 4, 13, 0, 1, 27, 0, 1, 6.16, 4.89, 1.58, 86.1
2019, LG, 36, 0, 0, 3, 0, 2, 0, 0, 14.2, 13, 13, 68, 20, 0, 3, 3, 0, 2, 7, 0, 0, 7.98, 6.13, 1.57, 51.2
2020, 롯데, 37, 0, 0, 4, 0, 3, 0, 0, 34.0, 32, 29, 160, 49, 0, 6, 10, 1, 3, 15, 0, 0, 7.68, 6.03, 1.74, 63.5
