year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2013, NC, 18, 0, 0, 0, 0, 0, 0, 0, 2.0, 3, 3, 11, 6, , 0, 0, 0, 0, 0, 0, 0, 13.50, 3.35, 3.00, 31.8
2015, NC, 20, 0, 0, 0, 0, 0, 0, 0, 2.0, 2, 2, 11, 3, 0, 0, 2, 0, 0, 3, 0, 0, 9.00, 3.62, 2.50, 53.2
2016, NC, 21, 0, 0, 5, 1, 3, 0, 1, 76.1, 40, 38, 331, 68, 2, 5, 43, 0, 2, 59, 0, 13, 4.48, 4.87, 1.45, 113.6
2017, NC, 22, 0, 0, 22, 9, 9, 0, 0, 134.1, 86, 79, 600, 139, 0, 18, 66, 0, 5, 120, 0, 15, 5.29, 5.28, 1.53, 93.8
2018, NC, 23, 0, 0, 0, 3, 2, 2, 1, 26.2, 22, 22, 126, 31, 0, 7, 17, 1, 0, 24, 0, 3, 7.43, 7.25, 1.80, 69.9
2019, NC, 24, 0, 0, 0, 5, 4, 0, 9, 54.2, 31, 28, 246, 58, 1, 9, 23, 0, 4, 49, 0, 6, 4.61, 5.23, 1.48, 91.9
2020, NC,KIA, 25, 0, 0, 3, 4, 4, 0, 6, 41.0, 52, 49, 207, 64, 2, 8, 22, 0, 3, 26, 0, 11, 10.76, 6.65, 2.10, 44.8
, NC, 25, 0, 0, 0, 1, 0, 0, 0, 9.2, 11, 10, 48, 12, 1, 1, 6, 0, 1, 4, 0, 3, 9.31, 6.25, 1.86, 52.5
, KIA, 25, 0, 0, 3, 3, 4, 0, 6, 31.1, 41, 39, 159, 52, 1, 7, 16, 0, 2, 22, 0, 8, 11.20, 6.78, 2.17, 42.8
2021, KIA, 26, 0, 0, 0, 1, 5, 1, 34, 76.2, 28, 28, 336, 67, 1, 7, 42, 1, 3, 80, 0, 8, 3.29, 4.15, 1.42, 135.3
2022, KIA, 27, 0, 0, 0, 0, 1, 0, 7, 17.2, 9, 8, 77, 19, 1, 1, 7, 1, 0, 17, 0, 2, 4.08, 3.05, 1.47, 89.1
year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2013, NC, 18, 0, 0, 0, 0, 0, 0, 0, 2.0, 3, 3, 11, 6, , 0, 0, 0, 0, 0, 0, 0, 13.50, 3.35, 3.00, 31.8
2015, NC, 20, 0, 0, 0, 0, 0, 0, 0, 2.0, 2, 2, 11, 3, 0, 0, 2, 0, 0, 3, 0, 0, 9.00, 3.62, 2.50, 53.2
2016, NC, 21, 0, 0, 5, 1, 3, 0, 1, 76.1, 40, 38, 331, 68, 2, 5, 43, 0, 2, 59, 0, 13, 4.48, 4.87, 1.45, 113.6
2017, NC, 22, 0, 0, 22, 9, 9, 0, 0, 134.1, 86, 79, 600, 139, 0, 18, 66, 0, 5, 120, 0, 15, 5.29, 5.28, 1.53, 93.8
2018, NC, 23, 0, 0, 0, 3, 2, 2, 1, 26.2, 22, 22, 126, 31, 0, 7, 17, 1, 0, 24, 0, 3, 7.43, 7.25, 1.80, 69.9
2019, NC, 24, 0, 0, 0, 5, 4, 0, 9, 54.2, 31, 28, 246, 58, 1, 9, 23, 0, 4, 49, 0, 6, 4.61, 5.23, 1.48, 91.9
2020, NC,KIA, 25, 0, 0, 3, 4, 4, 0, 6, 41.0, 52, 49, 207, 64, 2, 8, 22, 0, 3, 26, 0, 11, 10.76, 6.65, 2.10, 44.8
, NC, 25, 0, 0, 0, 1, 0, 0, 0, 9.2, 11, 10, 48, 12, 1, 1, 6, 0, 1, 4, 0, 3, 9.31, 6.25, 1.86, 52.5
, KIA, 25, 0, 0, 3, 3, 4, 0, 6, 31.1, 41, 39, 159, 52, 1, 7, 16, 0, 2, 22, 0, 8, 11.20, 6.78, 2.17, 42.8
2021, KIA, 26, 0, 0, 0, 1, 5, 1, 34, 76.2, 28, 28, 336, 67, 1, 7, 42, 1, 3, 80, 0, 8, 3.29, 4.15, 1.42, 135.3
2022, KIA, 27, 0, 0, 0, 0, 1, 0, 7, 17.2, 9, 8, 77, 19, 1, 1, 7, 1, 0, 17, 0, 2, 4.08, 3.05, 1.47, 89.1
