year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1983, OB, 23, 3, 1, 16, 6, 17, 2, 0, 155.1, 93, 73, 681, 165, , 10, 67, 5, 14, 31, 1, 3, 4.23, 3.96, 1.49, 77.4
1984, OB, 24, 0, 0, 4, 5, 3, 1, 0, 102.1, 34, 18, 407, 77, , 3, 35, 0, 4, 47, 0, 3, 1.58, 2.75, 1.09, 212.2
1985, OB, 25, 5, 0, 15, 7, 4, 1, 0, 128.2, 61, 50, 531, 110, , 9, 63, 0, 4, 46, 0, 1, 3.50, 3.97, 1.35, 101.9
1986, OB, 26, 10, 4, 22, 13, 9, 3, 0, 165.2, 46, 35, 659, 136, , 7, 45, 0, 6, 44, 2, 1, 1.90, 3.02, 1.09, 156.3
1987, OB, 27, 13, 2, 21, 15, 8, 6, 0, 188.1, 67, 59, 784, 170, , 1, 74, 1, 10, 73, 0, 6, 2.82, 3.08, 1.30, 121.9
1988, OB, 28, 3, 1, 21, 8, 12, 1, 0, 146.0, 76, 64, 629, 163, , 12, 44, 3, 6, 46, 0, 3, 3.95, 3.98, 1.42, 95.3
1989, OB, 29, 3, 1, 23, 9, 12, 0, 0, 171.0, 72, 66, 709, 143, , 8, 77, 2, 3, 72, 2, 2, 3.47, 3.74, 1.29, 105.4
1990, OB, 30, 4, 1, 16, 5, 8, 0, 0, 110.2, 63, 56, 480, 108, , 8, 45, 0, 7, 34, 1, 0, 4.55, 4.30, 1.38, 82.4
1991, OB, 31, 10, 2, 11, 6, 4, 1, 0, 99.1, 29, 25, 395, 85, , 5, 20, 0, 5, 37, 0, 0, 2.27, 3.35, 1.06, 170.8
1992, OB, 32, 17, 1, 30, 16, 12, 2, 0, 225.0, 95, 78, 939, 225, , 18, 59, 2, 12, 90, 0, 1, 3.12, 3.94, 1.26, 133.1
1993, OB, 33, 9, 3, 25, 10, 9, 0, 0, 161.2, 51, 46, 652, 134, , 4, 41, 1, 5, 51, 0, 2, 2.56, 2.99, 1.08, 122.3
1994, OB, 34, 1, 0, 11, 2, 6, 0, 0, 71.2, 45, 36, 315, 75, , 5, 29, 1, 3, 26, 0, 2, 4.52, 4.29, 1.45, 80.5
1995, OB, 35, 1, 0, 15, 7, 6, 0, 0, 79.1, 56, 47, 351, 89, , 10, 27, 1, 7, 28, 0, 1, 5.33, 4.99, 1.46, 66.8
