year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, 현대, 19, 0, 0, 0, 0, 0, 0, 0, 0.1, 3, 2, 4, 0, , 0, 3, 0, 0, 0, 0, 0, 54.00, 30.02, 9.00, 7.9
2007, 현대, 21, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 3, 1, , 0, 1, 0, 0, 0, 0, 0, 0.00, 11.83, 6.00, 
2008, 히어로즈, 22, 0, 0, 0, 0, 0, 0, 0, 7.0, 14, 14, 40, 8, , 2, 7, 1, 3, 7, 0, 0, 18.00, 8.72, 2.14, 23.5
2009, 히어로즈, 23, 0, 0, 0, 0, 0, 0, 0, 9.1, 4, 4, 39, 12, , 0, 3, 0, 0, 2, 0, 0, 3.86, 3.72, 1.61, 125.1
2012, SK, 26, 0, 0, 0, 1, 0, 0, 0, 35.1, 17, 17, 154, 40, , 2, 10, 0, 2, 21, 1, 4, 4.33, 3.67, 1.42, 88.0
2013, SK, 27, 0, 0, 0, 2, 0, 2, 3, 57.2, 28, 28, 252, 60, , 6, 23, 0, 4, 35, 0, 4, 4.37, 4.89, 1.44, 99.3
2014, SK, 28, 0, 0, 0, 7, 4, 0, 5, 84.2, 51, 47, 383, 99, 4, 11, 37, 3, 3, 72, 0, 5, 5.00, 5.16, 1.61, 102.2
2015, SK, 29, 0, 0, 0, 3, 6, 1, 5, 77.2, 39, 38, 337, 66, 1, 9, 42, 5, 5, 84, 0, 2, 4.40, 4.58, 1.39, 109.7
2016, SK, 30, 0, 0, 0, 2, 4, 0, 3, 54.1, 38, 31, 255, 67, 2, 6, 29, 4, 0, 45, 0, 1, 5.13, 4.95, 1.77, 101.7
2017, SK, 31, 0, 0, 0, 0, 0, 0, 1, 20.2, 16, 15, 103, 28, 0, 1, 13, 1, 3, 20, 0, 2, 6.53, 4.61, 1.98, 77.1
2018, SK, 32, 0, 0, 0, 0, 1, 0, 0, 18.0, 11, 11, 81, 21, 0, 3, 8, 0, 2, 15, 0, 0, 5.50, 6.00, 1.61, 95.6
2019, KT, 33, 0, 0, 1, 3, 1, 1, 7, 66.1, 31, 25, 280, 66, 1, 2, 18, 4, 4, 46, 0, 6, 3.39, 3.22, 1.27, 122.8
2020, KT, 34, 0, 0, 0, 5, 4, 2, 3, 45.2, 26, 26, 200, 46, 1, 3, 21, 5, 3, 27, 0, 1, 5.12, 4.48, 1.47, 93.8
2021, KT, 35, 0, 0, 0, 1, 0, 0, 0, 10.2, 6, 4, 46, 9, 0, 1, 6, 0, 0, 9, 0, 0, 3.38, 4.55, 1.41, 133.1
