year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, 태평양, 20, 0, 0, 6, 1, 3, 0, 0, 60.0, 25, 21, 257, 64, , 5, 17, 3, 4, 29, 0, 1, 3.15, 3.83, 1.35, 117.8
1996, 현대, 21, 1, 0, 17, 6, 6, 1, 0, 138.0, 59, 51, 585, 128, , 8, 53, 3, 7, 78, 0, 5, 3.33, 3.65, 1.31, 110.3
2000, 현대, 25, 0, 0, 0, 0, 0, 1, 1, 48.1, 21, 19, 203, 43, , 5, 16, 0, 2, 38, 0, 2, 3.54, 4.05, 1.22, 127.7
2001, 현대, 26, 0, 0, 25, 12, 6, 0, 1, 143.1, 86, 81, 639, 163, , 15, 54, 1, 7, 85, 0, 11, 5.09, 4.54, 1.51, 92.3
2002, 현대, 27, 0, 0, 1, 1, 1, 0, 0, 29.1, 23, 22, 139, 42, , 3, 11, 1, 3, 18, 0, 1, 6.75, 4.43, 1.81, 63.3
2003, 현대, 28, 0, 0, 11, 4, 2, 0, 0, 68.2, 31, 30, 294, 66, , 7, 25, 0, 4, 51, 0, 2, 3.93, 3.87, 1.33, 109.9
2004, 현대, 29, 0, 0, 6, 2, 5, 0, 4, 112.1, 59, 55, 487, 101, , 11, 51, 0, 8, 74, 0, 3, 4.41, 4.48, 1.35, 98.3
2005, 현대, 30, 0, 0, 8, 3, 6, 0, 1, 49.2, 45, 42, 235, 62, , 7, 23, 0, 5, 28, 1, 6, 7.61, 5.41, 1.71, 56.4
2006, 현대, 31, 1, 0, 23, 14, 4, 1, 0, 143.1, 56, 54, 627, 141, , 7, 60, 0, 12, 82, 0, 5, 3.39, 3.70, 1.40, 106.5
2007, 현대, 32, 0, 0, 26, 6, 10, 0, 0, 142.0, 79, 75, 625, 145, , 23, 60, 3, 6, 73, 0, 4, 4.75, 5.24, 1.44, 83.9
2008, 히어로즈, 33, 0, 0, 6, 2, 3, 3, 2, 56.1, 40, 40, 263, 73, , 10, 27, 3, 2, 36, 0, 1, 6.39, 5.56, 1.78, 66.3
2009, 히어로즈, 34, 0, 0, 1, 2, 1, 1, 0, 40.0, 29, 28, 187, 48, , 8, 20, 1, 2, 24, 0, 0, 6.30, 6.16, 1.70, 76.6
2010, SK, 35, 0, 0, 1, 2, 0, 0, 0, 15.0, 7, 6, 60, 9, , 1, 6, 0, 1, 12, 0, 1, 3.60, 3.95, 1.00, 126.3
2011, SK, 36, 0, 0, 0, 0, 0, 0, 0, 10.0, 4, 4, 42, 9, , 1, 2, 0, 0, 5, 0, 0, 3.60, 4.09, 1.10, 114.0
