year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1985, MBC, 24, 7, 3, 16, 9, 12, 5, 0, 192.2, 72, 67, 801, 169, , 13, 72, 2, 12, 99, 0, 5, 3.13, 3.34, 1.25, 106.7
1986, MBC, 25, 0, 0, 12, 1, 2, 1, 0, 52.2, 32, 27, 241, 57, , 3, 36, 1, 2, 21, 1, 1, 4.61, 4.13, 1.77, 64.3
1987, MBC, 26, 8, 3, 18, 6, 13, 2, 0, 195.1, 68, 62, 804, 171, , 10, 73, 3, 7, 85, 0, 3, 2.86, 3.45, 1.25, 120.6
1988, MBC, 27, 6, 1, 20, 5, 16, 0, 0, 139.2, 96, 88, 634, 163, , 20, 61, 2, 14, 43, 0, 0, 5.67, 5.39, 1.60, 66.1
1989, MBC, 28, 4, 0, 10, 5, 7, 3, 0, 100.2, 46, 41, 435, 92, , 7, 50, 2, 1, 37, 1, 3, 3.67, 4.23, 1.41, 99.3
1990, LG, 29, 1, 0, 3, 8, 9, 23, 0, 168.1, 58, 52, 684, 133, , 4, 57, 6, 9, 85, 0, 2, 2.78, 2.94, 1.13, 135.0
1991, LG, 30, 4, 0, 17, 12, 15, 8, 0, 180.2, 93, 84, 763, 176, , 17, 50, 2, 9, 114, 0, 3, 4.18, 3.60, 1.25, 92.1
1992, LG, 31, 4, 1, 18, 14, 11, 5, 0, 180.1, 89, 81, 776, 172, , 17, 68, 5, 11, 128, 0, 3, 4.04, 3.82, 1.33, 103.2
1993, LG, 32, 4, 1, 29, 15, 11, 0, 0, 198.2, 81, 66, 822, 184, , 11, 53, 3, 11, 93, 0, 4, 2.99, 3.17, 1.19, 105.6
1994, LG, 33, 9, 2, 27, 15, 8, 0, 0, 186.1, 72, 61, 758, 173, , 18, 41, 2, 13, 76, 0, 2, 2.95, 4.09, 1.15, 123.7
1995, LG, 34, 3, 0, 26, 8, 9, 0, 0, 163.0, 79, 69, 692, 154, , 17, 50, 2, 22, 82, 1, 2, 3.81, 4.45, 1.25, 93.4
1996, LG, 35, 0, 0, 25, 8, 8, 0, 0, 136.1, 69, 65, 594, 139, , 11, 52, 1, 16, 76, 0, 4, 4.29, 4.20, 1.40, 83.3
