year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2004, SK, 19, 0, 0, 0, 0, 0, 0, 0, 2.2, 2, 2, 12, 3, , 0, 2, 0, 0, 0, 0, 0, 6.75, 5.20, 1.88, 62.3
2005, SK, 20, 0, 0, 0, 3, 1, 1, 13, 42.2, 11, 8, 165, 28, , 3, 17, 2, 1, 32, 0, 1, 1.69, 3.55, 1.06, 244.7
2006, SK, 21, 0, 0, 0, 3, 3, 0, 20, 46.2, 23, 22, 195, 36, , 5, 27, 2, 1, 47, 0, 1, 4.24, 3.75, 1.35, 82.9
2007, SK, 22, 0, 0, 0, 0, 1, 0, 14, 27.1, 13, 13, 126, 25, , 5, 21, 0, 0, 22, 0, 2, 4.28, 5.90, 1.68, 89.0
2008, SK, 23, 0, 0, 0, 9, 2, 5, 25, 77.2, 24, 18, 314, 49, , 4, 32, 1, 6, 64, 0, 1, 2.09, 3.60, 1.04, 194.5
2009, SK, 24, 0, 0, 0, 1, 1, 1, 2, 56.0, 23, 21, 248, 56, , 5, 29, 2, 3, 46, 0, 2, 3.38, 4.31, 1.52, 140.2
2010, SK, 25, 0, 0, 0, 8, 4, 2, 18, 102.0, 41, 40, 428, 80, , 7, 44, 2, 4, 111, 0, 4, 3.53, 3.36, 1.22, 128.8
2011, SK, 26, 0, 0, 0, 4, 0, 7, 25, 94.1, 21, 19, 358, 61, , 3, 23, 4, 2, 68, 0, 2, 1.81, 2.83, 0.89, 226.4
2012, SK, 27, 0, 0, 0, 2, 4, 30, 0, 49.0, 12, 12, 193, 33, , 0, 9, 2, 4, 55, 0, 1, 2.20, 1.53, 0.86, 172.9
2015, SK, 30, 0, 0, 0, 7, 5, 16, 11, 70.0, 25, 25, 287, 52, 0, 3, 28, 5, 1, 90, 0, 3, 3.21, 2.63, 1.14, 150.3
2016, 한화, 31, 0, 0, 0, 8, 5, 16, 1, 81.0, 33, 30, 331, 64, 1, 7, 26, 6, 4, 85, 1, 5, 3.33, 3.71, 1.11, 157.5
2017, 한화, 32, 0, 0, 0, 6, 4, 26, 0, 59.0, 20, 18, 247, 47, 0, 5, 19, 2, 4, 78, 0, 5, 2.75, 3.26, 1.12, 183.1
2018, 한화, 33, 0, 0, 0, 5, 3, 35, 0, 53.0, 22, 20, 220, 49, 0, 6, 12, 1, 2, 56, 0, 1, 3.40, 3.93, 1.15, 156.0
2019, 한화, 34, 0, 0, 0, 4, 3, 26, 0, 58.1, 11, 10, 237, 57, 0, 4, 16, 4, 1, 48, 1, 2, 1.54, 3.32, 1.25, 268.5
2020, 한화, 35, 0, 0, 0, 3, 5, 16, 0, 54.1, 29, 29, 230, 58, 1, 4, 12, 1, 5, 53, 0, 2, 4.80, 3.45, 1.29, 98.4
2021, 한화, 36, 0, 0, 0, 1, 4, 15, 1, 44.2, 29, 28, 199, 47, 0, 5, 20, 2, 5, 32, 0, 0, 5.64, 4.90, 1.50, 77.6
2022, 한화, 37, 0, 0, 0, 0, 0, 1, 0, 7.0, 6, 4, 37, 11, 0, 1, 3, 1, 0, 7, 0, 0, 5.14, 3.93, 2.00, 70.5
