year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1998, 삼성, 20, 0, 0, 0, 1, 0, 0, 0, 7.2, 4, 4, 32, 6, , 3, 5, 0, 1, 2, 0, 0, 4.70, 9.81, 1.44, 87.5
1999, 삼성, 21, 0, 0, 15, 3, 7, 0, 0, 78.2, 54, 44, 342, 80, , 12, 29, 1, 3, 56, 0, 6, 5.03, 5.01, 1.39, 100.7
2000, 삼성, 22, 0, 0, 0, 0, 0, 0, 0, 5.0, 6, 2, 24, 6, , 1, 2, 0, 1, 2, 0, 0, 3.60, 6.76, 1.60, 131.7
2002, 삼성, 24, 0, 0, 2, 1, 1, 0, 0, 36.0, 20, 16, 153, 32, , 2, 16, 0, 2, 34, 0, 2, 4.00, 3.34, 1.33, 107.8
2003, 삼성, 25, 0, 0, 3, 4, 5, 1, 3, 86.1, 47, 44, 373, 91, , 6, 32, 0, 2, 77, 0, 4, 4.59, 3.06, 1.43, 95.1
2004, 삼성, 26, 0, 0, 10, 4, 5, 0, 1, 85.2, 41, 32, 370, 81, , 8, 38, 0, 4, 67, 0, 5, 3.36, 4.07, 1.39, 129.1
2007, 삼성, 29, 0, 0, 0, 0, 1, 1, 0, 14.2, 10, 9, 69, 15, , 3, 9, 0, 2, 6, 0, 0, 5.52, 6.92, 1.64, 71.0
2008, 삼성, 30, 0, 0, 7, 10, 4, 0, 11, 127.0, 51, 48, 529, 108, , 3, 55, 0, 1, 97, 0, 2, 3.40, 3.25, 1.28, 122.0
2009, 삼성, 31, 0, 0, 0, 8, 5, 6, 16, 79.0, 33, 30, 339, 77, , 8, 36, 1, 2, 66, 0, 9, 3.42, 4.24, 1.43, 142.8
2010, 삼성, 32, 0, 0, 0, 9, 1, 12, 11, 70.1, 31, 25, 299, 66, , 3, 26, 0, 4, 61, 0, 4, 3.20, 3.39, 1.31, 144.2
2011, 삼성, 33, 0, 0, 0, 4, 3, 1, 24, 72.1, 22, 19, 303, 70, , 4, 30, 0, 4, 52, 0, 3, 2.36, 3.88, 1.38, 176.4
2012, 삼성, 34, 0, 0, 1, 2, 5, 0, 3, 62.2, 25, 22, 256, 57, , 1, 21, 1, 0, 48, 0, 3, 3.16, 2.74, 1.25, 120.8
2013, LG, 35, 0, 0, 0, 2, 5, 2, 16, 47.2, 23, 20, 220, 55, , 4, 25, 0, 1, 31, 0, 3, 3.78, 4.78, 1.68, 112.4
2014, LG, 36, 0, 0, 0, 2, 2, 0, 1, 32.1, 17, 17, 148, 39, 0, 4, 15, 0, 1, 24, 0, 0, 4.73, 5.46, 1.67, 104.6
2016, LG, 38, 0, 0, 0, 1, 0, 1, 3, 21.0, 19, 17, 97, 22, 0, 4, 10, 1, 4, 18, 0, 2, 7.29, 6.41, 1.52, 69.8
