year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1991, 쌍방울, 24, 0, 0, 4, 9, 7, 27, 0, 142.1, 30, 26, 545, 70, , 5, 58, 6, 3, 133, 1, 3, 1.64, 2.44, 0.90, 249.5
1992, 쌍방울, 25, 0, 0, 0, 7, 7, 8, 0, 54.0, 25, 19, 233, 48, , 5, 24, 1, 2, 65, 0, 3, 3.17, 2.97, 1.33, 138.0
1993, 쌍방울, 26, 0, 0, 0, 1, 4, 23, 0, 88.2, 17, 14, 348, 51, , 5, 33, 2, 4, 96, 0, 0, 1.42, 2.22, 0.95, 230.3
1994, 쌍방울, 27, 0, 0, 0, 2, 8, 24, 0, 98.0, 28, 26, 394, 69, , 5, 38, 5, 5, 93, 0, 7, 2.39, 2.74, 1.09, 156.9
1995, 쌍방울, 28, 0, 0, 0, 0, 1, 3, 0, 10.2, 6, 6, 50, 11, , 2, 6, 1, 1, 9, 0, 0, 5.06, 5.25, 1.59, 73.7
1996, 쌍방울, 29, 0, 0, 0, 5, 5, 20, 0, 59.2, 12, 12, 239, 41, , 3, 24, 3, 4, 74, 0, 1, 1.81, 2.22, 1.09, 203.5
1997, 쌍방울, 30, 0, 0, 0, 4, 6, 28, 0, 77.2, 25, 25, 317, 64, , 4, 23, 4, 4, 74, 1, 3, 2.90, 2.53, 1.12, 138.6
1998, 쌍방울,현대, 31, 0, 0, 3, 5, 4, 2, 0, 56.0, 28, 26, 250, 65, , 8, 16, 1, 1, 40, 0, 3, 4.18, 4.18, 1.45, 95.2
, 현대, 31, 0, 0, 3, 3, 1, 0, 0, 23.2, 8, 8, 98, 28, , 2, 0, 0, 0, 18, 0, 1, 3.04, 2.47, 1.18, 130.7
, 쌍방울, 31, 0, 0, 0, 2, 3, 2, 0, 32.1, 20, 18, 152, 37, , 6, 16, 1, 1, 22, 0, 2, 5.01, 5.43, 1.64, 79.3
1999, 현대, 32, 0, 0, 10, 6, 2, 2, 0, 56.0, 37, 37, 247, 62, , 9, 20, 1, 3, 52, 0, 2, 5.95, 4.68, 1.46, 83.0
2000, 현대, 33, 0, 0, 0, 0, 0, 0, 3, 4.1, 1, 1, 17, 2, , 0, 2, 0, 0, 4, 0, 0, 2.08, 2.70, 0.92, 217.6
2001, SK, 34, 0, 0, 10, 8, 9, 9, 3, 106.1, 45, 42, 427, 90, , 12, 35, 6, 3, 75, 1, 5, 3.55, 4.07, 1.18, 132.4
2002, SK, 35, 0, 0, 8, 6, 8, 6, 3, 78.2, 40, 37, 347, 81, , 13, 27, 4, 10, 64, 0, 4, 4.23, 4.78, 1.37, 99.4
2003, 현대, 36, 0, 0, 2, 0, 3, 0, 4, 40.0, 26, 25, 190, 39, , 6, 32, 1, 4, 41, 2, 3, 5.63, 5.29, 1.78, 76.8
2004, KIA, 37, 0, 0, 0, 1, 0, 1, 5, 21.0, 5, 5, 76, 11, , 1, 4, 0, 1, 18, 0, 2, 2.14, 2.57, 0.71, 203.7
2005, KIA, 38, 0, 0, 0, 0, 0, 0, 0, 1.0, 4, 4, 11, 5, , 2, 2, 0, 1, 0, 0, 1, 36.00, 38.02, 7.00, 11.8
