year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, OB, 23, 2, 0, 9, 6, 2, 2, 0, 109.1, 43, 39, 464, 112, , 2, 32, 3, 8, 50, 0, 5, 3.21, 3.15, 1.32, 110.9
1996, OB, 24, 5, 2, 23, 13, 10, 4, 0, 191.0, 72, 66, 774, 186, , 4, 42, 5, 5, 69, 1, 3, 3.11, 3.00, 1.19, 114.1
1997, OB, 25, 1, 1, 26, 7, 12, 0, 0, 130.2, 69, 54, 571, 152, , 11, 37, 1, 6, 72, 1, 4, 3.72, 3.83, 1.45, 104.9
1998, OB, 26, 1, 1, 5, 8, 6, 19, 0, 158.1, 44, 41, 638, 135, , 7, 42, 5, 5, 100, 0, 5, 2.33, 3.00, 1.12, 165.3
1999, 두산, 27, 0, 0, 0, 16, 6, 36, 0, 114.0, 32, 30, 454, 84, , 9, 37, 3, 4, 114, 0, 8, 2.37, 3.30, 1.06, 203.6
2000, 두산, 28, 0, 0, 0, 5, 5, 42, 0, 73.0, 23, 19, 301, 64, , 3, 25, 4, 0, 61, 0, 6, 2.34, 2.89, 1.22, 190.7
2001, 두산, 29, 0, 0, 5, 9, 6, 23, 0, 89.1, 41, 32, 388, 87, , 7, 40, 3, 1, 88, 0, 3, 3.22, 3.44, 1.42, 141.9
2002, 두산, 30, 0, 0, 0, 4, 5, 31, 0, 62.1, 28, 24, 261, 60, , 8, 16, 5, 3, 58, 1, 2, 3.47, 3.48, 1.22, 118.8
2003, KIA, 31, 0, 0, 2, 4, 4, 19, 0, 64.1, 24, 22, 271, 64, , 11, 22, 2, 2, 71, 0, 2, 3.08, 3.80, 1.34, 139.1
2004, LG, 32, 0, 0, 1, 0, 4, 15, 0, 32.2, 22, 19, 156, 49, , 3, 12, 3, 1, 23, 0, 4, 5.23, 3.65, 1.87, 80.2
2005, LG, 33, 0, 0, 12, 3, 7, 0, 0, 51.0, 40, 33, 237, 58, , 5, 21, 0, 7, 27, 0, 5, 5.82, 4.88, 1.55, 71.5
2006, LG, 34, 0, 0, 3, 0, 3, 0, 2, 43.1, 21, 19, 190, 54, , 3, 15, 0, 0, 18, 0, 4, 3.95, 3.81, 1.59, 89.8
