year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1986, 해태, 23, 3, 2, 21, 10, 4, 3, 0, 131.0, 46, 41, 535, 134, , 4, 24, 1, 5, 35, 0, 1, 2.82, 2.58, 1.21, 108.3
1987, 해태, 24, 7, 2, 23, 9, 11, 0, 0, 159.2, 65, 56, 653, 157, , 8, 39, 2, 5, 49, 0, 0, 3.16, 3.29, 1.23, 110.5
1988, 해태, 25, 5, 3, 15, 10, 6, 1, 0, 146.0, 68, 54, 607, 156, , 11, 21, 2, 10, 45, 0, 4, 3.33, 3.54, 1.21, 115.1
1989, 해태, 26, 0, 0, 6, 0, 4, 0, 0, 40.0, 22, 19, 182, 48, , 0, 20, 0, 3, 8, 0, 0, 4.28, 3.93, 1.70, 85.7
1990, LG, 27, 0, 0, 6, 3, 3, 0, 0, 49.0, 30, 30, 215, 56, , 3, 20, 1, 1, 7, 0, 0, 5.51, 4.30, 1.55, 68.1
1991, LG, 28, 0, 0, 0, 0, 0, 0, 0, 3.2, 6, 6, 22, 9, , 1, 1, 0, 1, 0, 0, 0, 14.73, 7.87, 2.73, 26.2
1992, LG, 29, 0, 0, 0, 2, 1, 4, 0, 28.0, 14, 13, 114, 29, , 1, 11, 3, 1, 8, 0, 0, 4.18, 3.64, 1.43, 99.8
1993, LG, 30, 0, 0, 1, 5, 4, 4, 0, 59.0, 21, 21, 232, 52, , 5, 15, 2, 1, 28, 0, 3, 3.20, 3.33, 1.14, 98.6
1994, LG, 31, 0, 0, 0, 2, 5, 7, 0, 59.0, 24, 17, 263, 75, , 5, 19, 7, 5, 29, 0, 3, 2.59, 3.79, 1.59, 140.5
1995, LG, 32, 0, 0, 0, 4, 2, 4, 0, 54.2, 24, 17, 226, 52, , 1, 15, 2, 1, 23, 0, 1, 2.80, 2.98, 1.23, 127.2
1996, LG, 33, 0, 0, 1, 1, 6, 4, 0, 77.2, 51, 45, 346, 90, , 4, 28, 3, 6, 33, 0, 2, 5.21, 3.80, 1.52, 68.5
1997, LG, 34, 0, 0, 0, 0, 0, 0, 0, 11.0, 19, 18, 60, 22, , 4, 3, 0, 3, 0, 0, 0, 14.73, 9.24, 2.27, 26.4
