year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 롯데, 23, 0, 0, 6, 2, 5, 8, 0, 46.0, 43, 38, 223, 57, , 4, 32, 3, 2, 29, 0, 2, 7.43, 4.68, 1.94, 50.7
1997, 롯데, 24, 0, 0, 21, 7, 9, 0, 0, 107.2, 65, 56, 494, 124, , 8, 55, 3, 3, 64, 0, 8, 4.68, 4.18, 1.66, 87.6
1998, 롯데, 25, 2, 0, 14, 0, 7, 0, 0, 92.0, 61, 51, 402, 95, , 13, 39, 3, 1, 41, 0, 6, 4.99, 5.05, 1.46, 81.1
1999, 두산, 26, 0, 0, 5, 1, 2, 1, 0, 76.1, 38, 34, 338, 84, , 4, 36, 1, 1, 60, 1, 7, 4.01, 3.80, 1.57, 120.3
2000, 두산, 27, 0, 0, 0, 1, 1, 1, 2, 40.0, 30, 20, 196, 44, , 5, 29, 0, 3, 33, 1, 7, 4.50, 5.53, 1.83, 99.3
2001, 두산, 28, 0, 0, 0, 6, 2, 1, 18, 97.1, 42, 37, 416, 86, , 6, 46, 5, 3, 73, 0, 6, 3.42, 3.77, 1.36, 133.7
2002, 두산, 29, 0, 0, 0, 1, 2, 1, 17, 51.1, 23, 22, 218, 46, , 4, 18, 3, 1, 37, 0, 3, 3.86, 3.51, 1.25, 106.8
2003, 두산, 30, 0, 0, 0, 1, 1, 0, 16, 31.0, 18, 15, 135, 28, , 0, 16, 2, 1, 14, 0, 1, 4.35, 3.31, 1.42, 95.5
2004, 두산,한화, 31, 0, 0, 0, 0, 1, 0, 11, 14.2, 5, 4, 63, 14, , 0, 6, 2, 2, 11, 0, 1, 2.45, 2.68, 1.36, 179.6
, 한화, 31, 0, 0, 0, 0, 1, 0, 11, 12.0, 5, 4, 50, 9, , 0, 5, 0, 2, 10, 0, 1, 3.00, 3.03, 1.17, 146.9
, 두산, 31, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 13, 5, , 0, 1, 0, 0, 1, 0, 0, 0.00, 3.32, 2.25, 
2005, 한화, 32, 0, 0, 0, 4, 1, 0, 12, 33.2, 23, 22, 152, 46, , 3, 9, 0, 4, 17, 0, 2, 5.88, 4.32, 1.63, 74.5
2006, 한화, 33, 0, 0, 0, 3, 0, 0, 4, 22.0, 11, 8, 93, 20, , 1, 5, 0, 2, 11, 0, 0, 3.27, 3.25, 1.14, 114.5
