year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, SK, 20, 2, 2, 15, 7, 9, 11, 2, 141.0, 51, 50, 578, 120, , 20, 44, 3, 9, 126, 1, 4, 3.19, 4.12, 1.16, 131.8
2003, SK, 21, 0, 0, 16, 9, 5, 4, 2, 114.0, 66, 61, 509, 113, , 9, 59, 1, 6, 84, 0, 2, 4.82, 4.00, 1.51, 86.6
2005, SK, 23, 0, 0, 23, 8, 8, 0, 1, 121.0, 63, 57, 518, 103, , 18, 54, 0, 8, 96, 0, 0, 4.24, 4.90, 1.30, 97.4
2006, SK, 24, 0, 0, 25, 7, 8, 0, 0, 152.2, 60, 52, 640, 136, , 10, 55, 2, 9, 97, 1, 2, 3.07, 3.50, 1.25, 114.7
2007, SK, 25, 0, 0, 23, 11, 8, 0, 0, 146.0, 51, 46, 610, 137, , 8, 47, 4, 5, 84, 1, 3, 2.84, 3.38, 1.26, 134.4
2008, SK, 26, 0, 0, 23, 10, 2, 0, 1, 136.2, 43, 41, 569, 126, , 10, 43, 1, 6, 81, 0, 2, 2.70, 3.97, 1.24, 150.2
2009, SK, 27, 0, 0, 7, 3, 3, 2, 3, 61.1, 32, 32, 269, 66, , 11, 25, 2, 2, 53, 0, 2, 4.70, 5.01, 1.48, 100.8
2012, SK, 30, 0, 0, 10, 3, 3, 0, 0, 62.2, 22, 22, 271, 67, , 3, 22, 4, 1, 42, 0, 1, 3.16, 3.30, 1.42, 120.6
2013, SK, 31, 0, 0, 2, 0, 3, 1, 0, 20.1, 18, 18, 103, 30, , 2, 16, 0, 3, 12, 1, 1, 7.97, 6.25, 2.26, 54.5
2014, SK, 32, 1, 0, 24, 8, 12, 0, 0, 130.0, 94, 92, 585, 151, 2, 27, 49, 0, 8, 87, 0, 2, 6.37, 6.53, 1.54, 80.1
2015, SK, 33, 0, 0, 8, 4, 4, 0, 1, 83.0, 56, 56, 367, 103, 2, 17, 27, 1, 3, 78, 0, 4, 6.07, 5.45, 1.57, 79.5
2016, SK, 34, 0, 0, 0, 6, 3, 2, 9, 83.2, 43, 40, 345, 77, 1, 9, 29, 1, 3, 67, 0, 2, 4.30, 4.70, 1.27, 121.3
2017, SK, 35, 0, 0, 0, 6, 4, 0, 6, 50.0, 40, 38, 231, 62, 0, 8, 15, 2, 3, 43, 0, 1, 6.84, 5.06, 1.54, 73.6
2018, SK, 36, 0, 0, 0, 2, 1, 1, 3, 30.0, 16, 16, 128, 33, 0, 8, 8, 0, 1, 15, 0, 0, 4.80, 7.20, 1.37, 109.5
2019, SK, 37, 0, 0, 0, 0, 0, 1, 1, 3.2, 4, 4, 21, 7, 0, 1, 3, 0, 1, 3, 0, 0, 9.82, 8.58, 2.73, 43.2
