year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1994, 태평양, 23, 2, 1, 18, 13, 9, 1, 0, 158.0, 45, 44, 635, 123, , 9, 59, 2, 4, 90, 1, 10, 2.51, 3.57, 1.15, 153.2
1995, 태평양, 24, 0, 0, 8, 0, 4, 0, 0, 29.1, 27, 27, 143, 42, , 5, 16, 2, 2, 17, 0, 2, 8.28, 5.50, 1.98, 44.8
1996, 해태, 25, 0, 0, 3, 0, 2, 0, 0, 9.2, 12, 10, 51, 20, , 1, 3, 0, 1, 4, 0, 0, 9.31, 4.55, 2.38, 40.2
1998, 해태, 27, 0, 0, 18, 8, 2, 1, 0, 97.1, 49, 46, 417, 105, , 15, 29, 3, 4, 56, 0, 3, 4.25, 4.67, 1.38, 95.1
1999, 해태, 28, 2, 1, 21, 7, 5, 1, 0, 121.2, 82, 72, 527, 123, , 27, 40, 1, 6, 73, 1, 4, 5.33, 6.07, 1.34, 95.3
2000, 해태, 29, 6, 1, 30, 12, 9, 0, 0, 185.2, 102, 94, 802, 193, , 28, 62, 1, 11, 136, 0, 6, 4.56, 4.82, 1.37, 102.5
2001, 해태/KIA, 30, 8, 3, 29, 12, 10, 0, 0, 185.1, 98, 89, 790, 179, , 20, 64, 1, 10, 106, 0, 4, 4.32, 4.55, 1.31, 110.0
2002, KIA, 31, 1, 0, 23, 8, 7, 0, 0, 133.0, 79, 66, 578, 150, , 23, 33, 1, 4, 79, 0, 2, 4.47, 4.87, 1.38, 95.3
2003, KIA, 32, 2, 1, 22, 11, 5, 0, 0, 126.1, 53, 50, 534, 128, , 16, 38, 0, 5, 63, 0, 0, 3.56, 4.43, 1.31, 120.2
2004, KIA, 33, 0, 0, 5, 1, 2, 0, 0, 14.2, 22, 21, 83, 28, , 4, 12, 0, 1, 10, 0, 2, 12.89, 7.79, 2.73, 33.9
2005, KIA, 34, 0, 0, 11, 1, 5, 2, 2, 61.1, 44, 41, 279, 71, , 8, 24, 1, 8, 48, 0, 2, 6.02, 4.66, 1.55, 70.7
2006, LG, 35, 0, 0, 9, 2, 5, 0, 0, 45.0, 28, 24, 201, 52, , 7, 11, 1, 3, 23, 0, 1, 4.80, 4.57, 1.40, 73.8
2007, SK, 36, 0, 0, 1, 0, 0, 0, 1, 8.1, 12, 12, 47, 19, , 3, 4, 0, 0, 8, 0, 1, 12.96, 7.03, 2.76, 29.4
2008, SK, 37, 0, 0, 0, 0, 0, 0, 1, 14.0, 3, 3, 53, 13, , 0, 1, 0, 0, 5, 0, 0, 1.93, 2.65, 1.00, 210.3
2009, 한화, 38, 0, 0, 1, 0, 0, 0, 0, 10.2, 8, 8, 45, 14, , 1, 1, 1, 0, 9, 0, 2, 6.75, 2.72, 1.41, 72.5
