year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1997, 현대, 23, 0, 0, 13, 4, 10, 0, 0, 101.1, 63, 55, 462, 95, , 14, 73, 5, 3, 79, 1, 5, 4.88, 5.21, 1.66, 81.7
1998, 현대, 24, 0, 0, 1, 0, 1, 0, 0, 17.1, 11, 10, 78, 22, , 4, 6, 0, 0, 9, 0, 0, 5.19, 5.90, 1.62, 76.6
1999, 현대, 25, 0, 0, 9, 3, 4, 1, 0, 88.2, 60, 55, 404, 106, , 13, 37, 0, 8, 53, 1, 6, 5.58, 5.51, 1.61, 88.4
2000, 현대, 26, 0, 0, 0, 0, 0, 0, 1, 10.1, 5, 5, 41, 9, , 2, 3, 0, 0, 9, 0, 0, 4.35, 4.80, 1.16, 103.8
2001, 현대,한화, 27, 0, 0, 14, 4, 4, 2, 0, 67.1, 43, 41, 299, 64, , 7, 36, 2, 2, 43, 0, 3, 5.48, 4.79, 1.49, 89.1
, 현대, 27, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, , , , 
, 한화, 27, 0, 0, 14, 4, 4, 2, 0, 67.1, 43, 41, 299, 64, , 7, 36, 2, 2, 43, 0, 3, 5.48, 4.79, 1.49, 89.1
2002, 한화, 28, 0, 0, 3, 0, 0, 1, 0, 22.0, 20, 19, 110, 31, , 3, 14, 1, 2, 21, 0, 1, 7.77, 4.91, 2.05, 55.9
2003, 한화, 29, 1, 0, 6, 1, 3, 0, 0, 42.0, 33, 32, 201, 50, , 6, 20, 0, 4, 26, 0, 3, 6.86, 5.09, 1.67, 63.3
2004, 한화, 30, 0, 0, 4, 0, 3, 1, 0, 37.0, 18, 17, 156, 39, , 5, 9, 0, 3, 27, 0, 2, 4.14, 4.22, 1.30, 106.6
2005, 한화, 31, 0, 0, 13, 8, 8, 5, 0, 112.0, 41, 36, 469, 109, , 9, 30, 1, 6, 72, 1, 4, 2.89, 3.71, 1.24, 151.4
2006, 한화, 32, 0, 0, 0, 2, 3, 0, 11, 38.1, 13, 13, 162, 34, , 4, 14, 2, 3, 34, 0, 3, 3.05, 3.46, 1.25, 122.8
2007, 한화, 33, 0, 0, 12, 5, 5, 2, 1, 99.2, 50, 48, 442, 120, , 7, 39, 1, 4, 48, 1, 2, 4.33, 4.05, 1.60, 92.8
2008, 한화, 34, 0, 0, 9, 7, 8, 0, 3, 85.2, 50, 45, 384, 98, , 4, 38, 2, 3, 48, 0, 3, 4.73, 4.00, 1.59, 89.7
2009, 한화, 35, 0, 0, 2, 0, 2, 0, 0, 20.1, 23, 23, 103, 31, , 4, 11, 1, 0, 11, 0, 1, 10.18, 6.14, 2.07, 48.1
2010, 한화, 36, 0, 0, 11, 1, 4, 1, 0, 54.1, 46, 45, 260, 84, , 13, 22, 0, 3, 26, 0, 2, 7.45, 6.82, 1.95, 62.0
2012, SK, 38, 0, 0, 0, 2, 1, 0, 5, 53.0, 27, 27, 215, 52, , 7, 10, 2, 2, 40, 0, 0, 4.58, 3.88, 1.17, 83.1
2013, SK, 39, 0, 0, 0, 0, 0, 1, 3, 17.1, 15, 12, 84, 24, , 2, 8, 0, 1, 11, 0, 1, 6.23, 5.14, 1.85, 69.6
2014, KIA, 40, 0, 0, 0, 4, 2, 0, 14, 53.2, 25, 19, 228, 52, 0, 6, 15, 1, 1, 45, 0, 3, 3.19, 4.47, 1.25, 163.8
2015, KIA, 41, 0, 0, 0, 5, 2, 0, 10, 63.0, 23, 20, 247, 57, 0, 8, 8, 0, 2, 51, 0, 1, 2.86, 4.12, 1.03, 172.6
2016, KIA, 42, 0, 0, 3, 4, 3, 2, 10, 57.1, 26, 23, 249, 74, 1, 6, 8, 0, 3, 54, 0, 5, 3.61, 3.85, 1.43, 143.4
2017, KIA, 43, 0, 0, 0, 0, 0, 0, 0, 1.1, 3, 3, 10, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.25, 4.49, 3.75, 24.5
