year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1987, 청보, 21, 0, 0, 1, 0, 1, 0, 0, 16.2, 14, 14, 79, 21, , 1, 11, 1, 0, 7, 1, 0, 7.56, 4.21, 1.92, 47.5
1988, 태평양, 22, 0, 0, 1, 0, 1, 0, 0, 6.2, 6, 6, 29, 6, , 1, 4, 0, 0, 3, 0, 0, 8.10, 5.43, 1.50, 47.3
1989, 태평양, 23, 11, 1, 29, 10, 14, 2, 0, 223.1, 65, 55, 916, 169, , 6, 114, 3, 3, 191, 2, 11, 2.22, 2.77, 1.27, 166.2
1990, 태평양, 24, 5, 1, 27, 9, 9, 5, 0, 196.2, 86, 70, 824, 162, , 13, 93, 0, 1, 158, 0, 7, 3.20, 3.26, 1.30, 117.6
1991, 태평양, 25, 9, 1, 28, 15, 11, 3, 0, 233.1, 82, 76, 954, 196, , 20, 89, 3, 3, 163, 3, 7, 2.93, 3.55, 1.22, 133.6
1992, 태평양, 26, 1, 0, 14, 3, 9, 2, 0, 97.2, 53, 42, 427, 92, , 13, 56, 7, 1, 70, 0, 2, 3.87, 4.61, 1.52, 111.5
1993, 태평양, 27, 7, 1, 23, 7, 12, 0, 0, 162.1, 66, 54, 661, 134, , 11, 54, 1, 1, 104, 0, 6, 2.99, 3.06, 1.16, 108.8
1994, 태평양, 28, 3, 1, 26, 12, 11, 1, 0, 147.1, 74, 67, 631, 141, , 6, 59, 2, 5, 84, 0, 3, 4.09, 3.46, 1.36, 93.8
1995, 태평양, 29, 0, 0, 7, 0, 4, 0, 0, 27.1, 24, 22, 132, 30, , 9, 20, 1, 0, 11, 0, 5, 7.24, 8.37, 1.83, 51.2
1996, 현대, 30, 1, 1, 25, 8, 9, 0, 0, 140.1, 65, 60, 586, 117, , 14, 61, 1, 5, 97, 1, 9, 3.85, 4.09, 1.27, 95.4
1997, 현대, 31, 0, 0, 16, 7, 10, 1, 0, 110.0, 70, 64, 467, 102, , 16, 36, 2, 3, 67, 0, 3, 5.24, 4.56, 1.26, 76.2
1998, 현대,LG, 32, 0, 0, 0, 3, 0, 1, 0, 46.0, 18, 16, 195, 45, , 5, 19, 2, 2, 26, 0, 1, 3.13, 4.42, 1.39, 123.6
, 현대, 32, 0, 0, 0, 1, 0, 1, 0, 27.1, 14, 12, 122, 33, , 3, 11, 2, 2, 15, 0, 0, 3.95, 4.43, 1.61, 100.6
, LG, 32, 0, 0, 0, 2, 0, 0, 0, 18.2, 4, 4, 73, 12, , 2, 8, 0, 0, 11, 0, 1, 1.93, 4.40, 1.07, 200.6
1999, LG, 33, 0, 0, 0, 1, 2, 0, 0, 26.1, 17, 17, 122, 29, , 5, 19, 2, 1, 24, 0, 3, 5.81, 5.97, 1.82, 83.7
2000, LG, 34, 0, 0, 0, 0, 0, 0, 0, 59.1, 11, 11, 52, 14, , 1, 10, 1, 0, 7, 0, 0, 1.67, 3.60, 0.40, 268.1
2001, LG, 35, 0, 0, 0, 2, 1, 0, 6, 35.1, 27, 23, 161, 43, , 6, 11, 0, 1, 25, 0, 5, 5.86, 4.92, 1.53, 78.3
2002, LG, 36, 0, 0, 0, 0, 0, 0, 2, 12.0, 9, 9, 55, 13, , 1, 7, 0, 3, 11, 0, 1, 6.75, 4.75, 1.67, 61.3
