year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1990, 해태, 19, 0, 0, 1, 0, 1, 0, 0, 5.1, 10, 9, 33, 10, , 2, 6, 0, 1, 3, 0, 0, 15.19, 10.26, 3.00, 25.1
1995, 해태, 24, 0, 0, 10, 0, 5, 0, 0, 67.2, 35, 29, 287, 54, , 9, 36, 1, 3, 54, 0, 2, 3.86, 4.63, 1.33, 97.8
1996, 해태, 25, 0, 0, 1, 1, 0, 0, 0, 31.1, 17, 17, 137, 35, , 5, 13, 0, 3, 30, 0, 2, 4.88, 4.48, 1.53, 76.6
1997, LG, 26, 1, 1, 19, 8, 3, 0, 0, 120.1, 47, 40, 498, 112, , 7, 41, 4, 7, 74, 1, 1, 2.99, 3.50, 1.27, 129.9
1998, LG, 27, 2, 1, 28, 12, 12, 0, 0, 173.1, 80, 70, 721, 144, , 14, 50, 2, 10, 111, 0, 1, 3.63, 3.67, 1.12, 106.4
1999, LG, 28, 0, 0, 15, 8, 5, 0, 0, 93.0, 45, 44, 390, 78, , 9, 35, 2, 8, 87, 0, 3, 4.26, 3.98, 1.22, 114.2
2000, LG, 29, 2, 0, 11, 4, 7, 5, 0, 78.0, 34, 30, 343, 79, , 6, 28, 1, 6, 80, 0, 2, 3.46, 3.38, 1.37, 129.2
2001, LG, 30, 0, 0, 1, 0, 1, 0, 1, 8.0, 6, 6, 36, 7, , 2, 5, 0, 2, 5, 0, 0, 6.75, 7.74, 1.50, 68.0
2002, LG, 31, 0, 0, 23, 7, 9, 0, 0, 109.0, 62, 54, 476, 95, , 16, 58, 2, 8, 75, 1, 3, 4.46, 5.30, 1.40, 92.7
2004, KIA, 33, 0, 0, 7, 2, 1, 0, 0, 45.1, 20, 18, 198, 40, , 1, 20, 0, 7, 37, 0, 1, 3.57, 3.39, 1.32, 122.1
2005, KIA, 34, 0, 0, 9, 2, 5, 1, 0, 41.2, 20, 19, 184, 39, , 5, 20, 0, 4, 31, 0, 2, 4.10, 4.82, 1.42, 103.6
2007, 롯데, 36, 0, 0, 24, 5, 12, 0, 0, 122.1, 74, 68, 547, 139, , 13, 39, 1, 10, 66, 1, 0, 5.00, 4.31, 1.46, 76.5
2008, 롯데, 37, 0, 0, 0, 2, 4, 9, 3, 50.1, 20, 20, 196, 36, , 6, 14, 4, 1, 48, 0, 0, 3.58, 3.45, 0.99, 112.6
2012, KIA, 41, 0, 0, 0, 1, 3, 9, 2, 20.1, 10, 9, 85, 19, , 0, 6, 0, 1, 20, 0, 0, 3.98, 2.17, 1.23, 94.9
2013, KIA, 42, 0, 0, 0, 2, 2, 0, 8, 30.1, 16, 15, 125, 28, , 2, 8, 0, 1, 24, 1, 1, 4.45, 3.51, 1.19, 96.4
